age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
45-54 Years	Northern Mariana Islands	NA	NA	13	1/1/2025 - 10/30/2025
45-54 Years	Virgin Islands	11.03%	17.21%	517	1/1/2025 - 10/30/2025
45-54 Years	Alabama	11.72%	20.59%	61195	1/1/2025 - 10/30/2025
45-54 Years	Guam	NA	NA	38	1/1/2025 - 10/30/2025
45-54 Years	Mississippi	12.50%	19.99%	194322	1/1/2025 - 10/30/2025
45-54 Years	Kentucky	12.28%	18.70%	299995	1/1/2025 - 10/30/2025
45-54 Years	Delaware	12.63%	17.37%	37097	1/1/2025 - 10/30/2025
45-54 Years	Indiana	12.35%	18.81%	287678	1/1/2025 - 10/30/2025
45-54 Years	North Carolina	11.36%	16.85%	666278	1/1/2025 - 10/30/2025
45-54 Years	South Carolina	11.09%	17.74%	357744	1/1/2025 - 10/30/2025
45-54 Years	Ohio	11.13%	16.84%	968352	1/1/2025 - 10/30/2025
45-54 Years	West Virginia	10.88%	20.07%	114469	1/1/2025 - 10/30/2025
45-54 Years	Illinois	11.88%	17.35%	572937	1/1/2025 - 10/30/2025
45-54 Years	Maine	9.16%	12.58%	73116	1/1/2025 - 10/30/2025
45-54 Years	Maryland	9.58%	15.92%	184537	1/1/2025 - 10/30/2025
45-54 Years	New Jersey	8.74%	14.43%	353003	1/1/2025 - 10/30/2025
45-54 Years	Kansas	9.32%	15.28%	101544	1/1/2025 - 10/30/2025
45-54 Years	Missouri	10.32%	16.41%	105516	1/1/2025 - 10/30/2025
45-54 Years	Pennsylvania	8.83%	14.04%	778743	1/1/2025 - 10/30/2025
45-54 Years	Michigan	9.56%	14.80%	562468	1/1/2025 - 10/30/2025
45-54 Years	Virginia	9.09%	14.54%	503855	1/1/2025 - 10/30/2025
45-54 Years	New York	8.60%	13.81%	666403	1/1/2025 - 10/30/2025
45-54 Years	Rhode Island	9.55%	14.79%	65393	1/1/2025 - 10/30/2025
45-54 Years	Oklahoma	10.59%	17.41%	122680	1/1/2025 - 10/30/2025
45-54 Years	Minnesota	10.27%	14.54%	242793	1/1/2025 - 10/30/2025
45-54 Years	Wisconsin	10.91%	14.45%	310336	1/1/2025 - 10/30/2025
45-54 Years	Hawaii	9.12%	16.31%	66525	1/1/2025 - 10/30/2025
45-54 Years	Iowa	11.14%	15.99%	184190	1/1/2025 - 10/30/2025
45-54 Years	New Mexico	9.75%	17.01%	25839	1/1/2025 - 10/30/2025
45-54 Years	Massachusetts	8.81%	13.17%	370302	1/1/2025 - 10/30/2025
45-54 Years	Nebraska	9.28%	15.08%	81832	1/1/2025 - 10/30/2025
45-54 Years	Louisiana	9.19%	17.38%	243055	1/1/2025 - 10/30/2025
45-54 Years	Idaho	8.80%	13.25%	97398	1/1/2025 - 10/30/2025
45-54 Years	Tennessee	9.20%	17.67%	156923	1/1/2025 - 10/30/2025
45-54 Years	New Hampshire	7.91%	11.29%	54583	1/1/2025 - 10/30/2025
45-54 Years	Georgia	9.20%	16.86%	356428	1/1/2025 - 10/30/2025
45-54 Years	Arizona	10.19%	14.19%	157110	1/1/2025 - 10/30/2025
45-54 Years	Arkansas	10.39%	18.57%	96661	1/1/2025 - 10/30/2025
45-54 Years	Connecticut	7.41%	13.65%	281480	1/1/2025 - 10/30/2025
45-54 Years	Wyoming	8.40%	14.18%	16567	1/1/2025 - 10/30/2025
45-54 Years	Florida	8.27%	15.44%	827683	1/1/2025 - 10/30/2025
45-54 Years	Oregon	9.07%	14.09%	204766	1/1/2025 - 10/30/2025
45-54 Years	Texas	9.76%	18.40%	1206573	1/1/2025 - 10/30/2025
45-54 Years	Washington	8.35%	11.89%	170977	1/1/2025 - 10/30/2025
45-54 Years	California	9.45%	15.51%	894522	1/1/2025 - 10/30/2025
45-54 Years	Montana	7.61%	11.70%	39731	1/1/2025 - 10/30/2025
45-54 Years	Puerto Rico	9.99%	22.09%	9323	1/1/2025 - 10/30/2025
45-54 Years	South Dakota	8.82%	12.67%	40766	1/1/2025 - 10/30/2025
45-54 Years	Alaska	9.08%	13.42%	969	1/1/2025 - 10/30/2025
45-54 Years	North Dakota	8.41%	13.90%	62848	1/1/2025 - 10/30/2025
45-54 Years	Nevada	7.02%	12.66%	94197	1/1/2025 - 10/30/2025
45-54 Years	District of Columbia	6.38%	10.98%	13785	1/1/2025 - 10/30/2025
45-54 Years	Colorado	6.70%	11.23%	285752	1/1/2025 - 10/30/2025
45-54 Years	Vermont	4.76%	9.37%	43052	1/1/2025 - 10/30/2025
45-54 Years	Armed Forces Pacific	NA	NA	92	1/1/2025 - 10/30/2025
45-54 Years	Utah	5.98%	12.34%	86976	1/1/2025 - 10/30/2025
45-54 Years	Armed Forces Africa	NA	6.40%	172	1/1/2025 - 10/30/2025
45-54 Years	None of the above	7.43%	14.53%	145922	1/1/2025 - 10/30/2025
45-54 Years	Total	9.70%	15.75%	13948076	1/1/2025 - 10/30/2025
55-64 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	American Samoa, South Pacific	NA	38.46%	52	1/1/2025 - 10/30/2025
55-64 Years	Northern Mariana Islands	NA	NA	18	1/1/2025 - 10/30/2025
55-64 Years	Virgin Islands	12.55%	22.54%	781	1/1/2025 - 10/30/2025
55-64 Years	Alabama	15.40%	27.19%	75548	1/1/2025 - 10/30/2025
55-64 Years	Guam	NA	27.27%	88	1/1/2025 - 10/30/2025
55-64 Years	Mississippi	17.03%	27.14%	224287	1/1/2025 - 10/30/2025
55-64 Years	Kentucky	17.47%	26.26%	336758	1/1/2025 - 10/30/2025
55-64 Years	Delaware	18.18%	24.86%	50677	1/1/2025 - 10/30/2025
55-64 Years	Indiana	17.12%	25.98%	317222	1/1/2025 - 10/30/2025
55-64 Years	North Carolina	16.14%	24.23%	755627	1/1/2025 - 10/30/2025
55-64 Years	South Carolina	15.60%	25.02%	425318	1/1/2025 - 10/30/2025
55-64 Years	Ohio	16.01%	24.12%	1114405	1/1/2025 - 10/30/2025
55-64 Years	West Virginia	15.38%	27.89%	134459	1/1/2025 - 10/30/2025
55-64 Years	Illinois	15.99%	24.22%	642311	1/1/2025 - 10/30/2025
55-64 Years	Maine	13.28%	18.06%	97532	1/1/2025 - 10/30/2025
55-64 Years	Maryland	14.03%	23.19%	229807	1/1/2025 - 10/30/2025
55-64 Years	New Jersey	13.34%	22.04%	439673	1/1/2025 - 10/30/2025
55-64 Years	Kansas	13.66%	21.99%	115716	1/1/2025 - 10/30/2025
55-64 Years	Missouri	14.80%	23.87%	121891	1/1/2025 - 10/30/2025
55-64 Years	Pennsylvania	13.48%	21.22%	940032	1/1/2025 - 10/30/2025
55-64 Years	Michigan	13.93%	21.54%	666306	1/1/2025 - 10/30/2025
55-64 Years	Virginia	13.45%	21.74%	590399	1/1/2025 - 10/30/2025
55-64 Years	New York	12.92%	20.78%	863279	1/1/2025 - 10/30/2025
55-64 Years	Rhode Island	13.88%	21.41%	85655	1/1/2025 - 10/30/2025
55-64 Years	Oklahoma	14.74%	24.37%	138907	1/1/2025 - 10/30/2025
55-64 Years	Minnesota	14.72%	20.63%	280422	1/1/2025 - 10/30/2025
55-64 Years	Wisconsin	15.05%	20.34%	364454	1/1/2025 - 10/30/2025
55-64 Years	Hawaii	13.11%	23.74%	77699	1/1/2025 - 10/30/2025
55-64 Years	Iowa	15.36%	22.58%	203246	1/1/2025 - 10/30/2025
55-64 Years	New Mexico	12.68%	22.27%	33604	1/1/2025 - 10/30/2025
55-64 Years	Massachusetts	13.33%	19.87%	446978	1/1/2025 - 10/30/2025
55-64 Years	Nebraska	12.98%	21.51%	92088	1/1/2025 - 10/30/2025
55-64 Years	Louisiana	13.45%	25.05%	275429	1/1/2025 - 10/30/2025
55-64 Years	Idaho	13.10%	19.09%	104008	1/1/2025 - 10/30/2025
55-64 Years	Tennessee	12.69%	24.58%	190282	1/1/2025 - 10/30/2025
55-64 Years	New Hampshire	11.18%	15.88%	78511	1/1/2025 - 10/30/2025
55-64 Years	Georgia	13.32%	24.35%	401813	1/1/2025 - 10/30/2025
55-64 Years	Arizona	13.21%	18.83%	178131	1/1/2025 - 10/30/2025
55-64 Years	Arkansas	13.59%	24.97%	112259	1/1/2025 - 10/30/2025
55-64 Years	Connecticut	11.49%	20.25%	356619	1/1/2025 - 10/30/2025
55-64 Years	Wyoming	11.43%	18.57%	20210	1/1/2025 - 10/30/2025
55-64 Years	Florida	11.71%	22.21%	1011734	1/1/2025 - 10/30/2025
55-64 Years	Oregon	13.46%	20.77%	204053	1/1/2025 - 10/30/2025
55-64 Years	Texas	13.76%	26.09%	1240889	1/1/2025 - 10/30/2025
55-64 Years	Washington	12.18%	17.55%	179325	1/1/2025 - 10/30/2025
55-64 Years	California	13.65%	22.77%	951305	1/1/2025 - 10/30/2025
55-64 Years	Montana	11.46%	17.27%	44167	1/1/2025 - 10/30/2025
55-64 Years	Puerto Rico	15.27%	32.18%	10801	1/1/2025 - 10/30/2025
55-64 Years	South Dakota	12.37%	17.82%	43978	1/1/2025 - 10/30/2025
55-64 Years	Alaska	13.87%	18.99%	1269	1/1/2025 - 10/30/2025
55-64 Years	North Dakota	11.89%	19.89%	66068	1/1/2025 - 10/30/2025
55-64 Years	Nevada	10.51%	18.78%	104433	1/1/2025 - 10/30/2025
55-64 Years	District of Columbia	11.13%	19.91%	13141	1/1/2025 - 10/30/2025
55-64 Years	Colorado	10.13%	16.88%	288896	1/1/2025 - 10/30/2025
55-64 Years	Vermont	7.00%	13.93%	55614	1/1/2025 - 10/30/2025
55-64 Years	Armed Forces Pacific	NA	NA	60	1/1/2025 - 10/30/2025
55-64 Years	Utah	8.66%	18.64%	79738	1/1/2025 - 10/30/2025
55-64 Years	Armed Forces Africa	NA	10.37%	135	1/1/2025 - 10/30/2025
55-64 Years	None of the above	10.66%	22.45%	156519	1/1/2025 - 10/30/2025
55-64 Years	Total	13.93%	22.69%	16034637	1/1/2025 - 10/30/2025
65+ Years	Marshall Islands	NA	NA	15	1/1/2025 - 10/30/2025
65+ Years	Federated States of Micronesia	NA	NA	23	1/1/2025 - 10/30/2025
65+ Years	American Samoa, South Pacific	21.37%	46.15%	117	1/1/2025 - 10/30/2025
65+ Years	Northern Mariana Islands	NA	31.43%	35	1/1/2025 - 10/30/2025
65+ Years	Virgin Islands	16.15%	29.16%	1622	1/1/2025 - 10/30/2025
65+ Years	Alabama	16.57%	30.82%	138452	1/1/2025 - 10/30/2025
65+ Years	Guam	14.45%	36.42%	173	1/1/2025 - 10/30/2025
65+ Years	Mississippi	18.56%	32.60%	391183	1/1/2025 - 10/30/2025
65+ Years	Kentucky	19.55%	30.85%	536171	1/1/2025 - 10/30/2025
65+ Years	Delaware	20.64%	30.14%	98490	1/1/2025 - 10/30/2025
65+ Years	Indiana	19.21%	30.98%	534704	1/1/2025 - 10/30/2025
65+ Years	North Carolina	17.64%	29.20%	1304407	1/1/2025 - 10/30/2025
65+ Years	South Carolina	17.64%	30.04%	758018	1/1/2025 - 10/30/2025
65+ Years	Ohio	18.38%	30.06%	1921418	1/1/2025 - 10/30/2025
65+ Years	West Virginia	17.40%	33.37%	245558	1/1/2025 - 10/30/2025
65+ Years	Illinois	16.98%	29.38%	1129492	1/1/2025 - 10/30/2025
65+ Years	Maine	15.51%	21.79%	198833	1/1/2025 - 10/30/2025
65+ Years	Maryland	15.52%	28.36%	391396	1/1/2025 - 10/30/2025
65+ Years	New Jersey	15.81%	28.53%	741818	1/1/2025 - 10/30/2025
65+ Years	Kansas	15.95%	27.13%	222836	1/1/2025 - 10/30/2025
65+ Years	Missouri	16.23%	28.00%	226178	1/1/2025 - 10/30/2025
65+ Years	Pennsylvania	16.31%	27.06%	1643114	1/1/2025 - 10/30/2025
65+ Years	Michigan	16.64%	27.85%	1140348	1/1/2025 - 10/30/2025
65+ Years	Virginia	14.89%	27.00%	1015227	1/1/2025 - 10/30/2025
65+ Years	New York	15.27%	26.32%	1524383	1/1/2025 - 10/30/2025
65+ Years	Rhode Island	16.00%	27.94%	148177	1/1/2025 - 10/30/2025
65+ Years	Oklahoma	15.10%	27.85%	244379	1/1/2025 - 10/30/2025
65+ Years	Minnesota	16.71%	25.03%	513482	1/1/2025 - 10/30/2025
65+ Years	Wisconsin	17.27%	25.42%	602513	1/1/2025 - 10/30/2025
65+ Years	Hawaii	13.53%	28.20%	151713	1/1/2025 - 10/30/2025
65+ Years	Iowa	16.17%	26.05%	370191	1/1/2025 - 10/30/2025
65+ Years	New Mexico	11.43%	23.43%	70761	1/1/2025 - 10/30/2025
65+ Years	Massachusetts	16.33%	26.24%	730464	1/1/2025 - 10/30/2025
65+ Years	Nebraska	13.84%	24.86%	184270	1/1/2025 - 10/30/2025
65+ Years	Louisiana	15.87%	30.97%	463702	1/1/2025 - 10/30/2025
65+ Years	Idaho	15.77%	24.11%	201004	1/1/2025 - 10/30/2025
65+ Years	Tennessee	13.14%	28.35%	339067	1/1/2025 - 10/30/2025
65+ Years	New Hampshire	13.37%	19.72%	142776	1/1/2025 - 10/30/2025
65+ Years	Georgia	14.17%	28.68%	665523	1/1/2025 - 10/30/2025
65+ Years	Arizona	12.03%	20.37%	329912	1/1/2025 - 10/30/2025
65+ Years	Arkansas	13.01%	27.28%	199978	1/1/2025 - 10/30/2025
65+ Years	Connecticut	14.35%	26.03%	585865	1/1/2025 - 10/30/2025
65+ Years	Wyoming	13.24%	22.69%	44801	1/1/2025 - 10/30/2025
65+ Years	Florida	12.36%	26.64%	1849056	1/1/2025 - 10/30/2025
65+ Years	Oregon	14.12%	23.62%	390906	1/1/2025 - 10/30/2025
65+ Years	Texas	14.19%	29.78%	1991870	1/1/2025 - 10/30/2025
65+ Years	Washington	13.61%	21.65%	321377	1/1/2025 - 10/30/2025
65+ Years	California	13.48%	25.86%	1550089	1/1/2025 - 10/30/2025
65+ Years	Montana	13.17%	21.31%	88058	1/1/2025 - 10/30/2025
65+ Years	Puerto Rico	14.62%	34.25%	12286	1/1/2025 - 10/30/2025
65+ Years	South Dakota	14.84%	22.53%	77607	1/1/2025 - 10/30/2025
65+ Years	Alaska	11.03%	17.57%	2892	1/1/2025 - 10/30/2025
65+ Years	North Dakota	14.19%	25.35%	115850	1/1/2025 - 10/30/2025
65+ Years	Nevada	10.50%	21.66%	174658	1/1/2025 - 10/30/2025
65+ Years	District of Columbia	11.05%	21.38%	20059	1/1/2025 - 10/30/2025
65+ Years	Colorado	11.70%	20.95%	513999	1/1/2025 - 10/30/2025
65+ Years	Vermont	8.38%	17.61%	107712	1/1/2025 - 10/30/2025
65+ Years	Armed Forces Pacific	NA	NA	31	1/1/2025 - 10/30/2025
65+ Years	Utah	8.95%	23.19%	153560	1/1/2025 - 10/30/2025
65+ Years	Armed Forces Africa	NA	NA	35	1/1/2025 - 10/30/2025
65+ Years	None of the above	12.41%	27.50%	221746	1/1/2025 - 10/30/2025
65+ Years	Total	15.47%	27.46%	27744380	1/1/2025 - 10/30/2025
Total	Marshall Islands	NA	NA	34	1/1/2025 - 10/30/2025
Total	Federated States of Micronesia	NA	26.92%	52	1/1/2025 - 10/30/2025
Total	American Samoa, South Pacific	17.77%	37.19%	242	1/1/2025 - 10/30/2025
Total	Northern Mariana Islands	16.46%	22.78%	79	1/1/2025 - 10/30/2025
Total	Virgin Islands	12.49%	22.36%	3372	1/1/2025 - 10/30/2025
Total	Alabama	10.92%	19.82%	416863	1/1/2025 - 10/30/2025
Total	Guam	10.91%	25.13%	394	1/1/2025 - 10/30/2025
Total	Mississippi	10.26%	17.20%	1456025	1/1/2025 - 10/30/2025
Total	Kentucky	9.82%	15.26%	2248726	1/1/2025 - 10/30/2025
Total	Delaware	9.62%	13.88%	405263	1/1/2025 - 10/30/2025
Total	Indiana	9.58%	15.19%	2266810	1/1/2025 - 10/30/2025
Total	North Carolina	9.40%	14.87%	5030382	1/1/2025 - 10/30/2025
Total	South Carolina	9.40%	15.57%	2800548	1/1/2025 - 10/30/2025
Total	Ohio	9.36%	14.82%	7523962	1/1/2025 - 10/30/2025
Total	West Virginia	9.13%	17.11%	898449	1/1/2025 - 10/30/2025
Total	Illinois	8.91%	14.33%	4560005	1/1/2025 - 10/30/2025
Total	Maine	8.83%	12.29%	615482	1/1/2025 - 10/30/2025
Total	Maryland	8.73%	15.41%	1392966	1/1/2025 - 10/30/2025
Total	New Jersey	8.70%	15.19%	2562446	1/1/2025 - 10/30/2025
Total	Kansas	8.69%	14.54%	772835	1/1/2025 - 10/30/2025
Total	Missouri	8.67%	14.53%	827513	1/1/2025 - 10/30/2025
Total	Pennsylvania	8.43%	13.79%	5911631	1/1/2025 - 10/30/2025
Total	Michigan	8.33%	13.50%	4409306	1/1/2025 - 10/30/2025
Total	Virginia	8.29%	14.24%	3683277	1/1/2025 - 10/30/2025
Total	New York	8.21%	13.81%	5290319	1/1/2025 - 10/30/2025
Total	Rhode Island	8.17%	13.62%	566098	1/1/2025 - 10/30/2025
Total	Oklahoma	8.14%	14.13%	992153	1/1/2025 - 10/30/2025
Total	Minnesota	8.14%	12.01%	2148848	1/1/2025 - 10/30/2025
Total	Wisconsin	8.02%	11.34%	2714255	1/1/2025 - 10/30/2025
Total	Hawaii	7.98%	15.48%	510911	1/1/2025 - 10/30/2025
Total	Iowa	7.97%	12.21%	1586231	1/1/2025 - 10/30/2025
Total	New Mexico	7.95%	15.22%	210630	1/1/2025 - 10/30/2025
Total	Massachusetts	7.92%	12.37%	2938332	1/1/2025 - 10/30/2025
Total	Nebraska	7.92%	13.69%	635583	1/1/2025 - 10/30/2025
Total	Louisiana	7.76%	14.91%	1880627	1/1/2025 - 10/30/2025
Total	Idaho	7.72%	11.67%	779539	1/1/2025 - 10/30/2025
Total	Tennessee	7.66%	15.66%	1194042	1/1/2025 - 10/30/2025
Total	New Hampshire	7.45%	10.82%	471216	1/1/2025 - 10/30/2025
Total	Georgia	7.37%	14.31%	2704955	1/1/2025 - 10/30/2025
Total	Arizona	7.33%	11.31%	1282500	1/1/2025 - 10/30/2025
Total	Arkansas	7.33%	14.11%	800826	1/1/2025 - 10/30/2025
Total	Connecticut	7.31%	13.27%	2181116	1/1/2025 - 10/30/2025
Total	Wyoming	7.26%	12.31%	144358	1/1/2025 - 10/30/2025
Total	Florida	6.94%	14.03%	6654886	1/1/2025 - 10/30/2025
Total	Oregon	6.89%	11.15%	1661893	1/1/2025 - 10/30/2025
Total	Texas	6.88%	13.63%	9542593	1/1/2025 - 10/30/2025
Total	Washington	6.83%	10.41%	1308098	1/1/2025 - 10/30/2025
Total	California	6.75%	12.13%	7018403	1/1/2025 - 10/30/2025
Total	Montana	6.74%	10.65%	321484	1/1/2025 - 10/30/2025
Total	Puerto Rico	6.67%	15.35%	71322	1/1/2025 - 10/30/2025
Total	South Dakota	6.60%	9.81%	352092	1/1/2025 - 10/30/2025
Total	Alaska	6.39%	9.66%	10168	1/1/2025 - 10/30/2025
Total	North Dakota	6.19%	10.62%	545941	1/1/2025 - 10/30/2025
Total	Nevada	5.50%	10.66%	730679	1/1/2025 - 10/30/2025
Total	District of Columbia	5.49%	9.98%	97278	1/1/2025 - 10/30/2025
Total	Colorado	5.31%	9.26%	2319831	1/1/2025 - 10/30/2025
Total	Vermont	4.98%	10.09%	336057	1/1/2025 - 10/30/2025
Total	Armed Forces Pacific	4.96%	8.75%	343	1/1/2025 - 10/30/2025
Total	Utah	4.46%	10.48%	688965	1/1/2025 - 10/30/2025
Total	Armed Forces Africa	2.82%	4.85%	639	1/1/2025 - 10/30/2025
Total	None of the above	5.50%	11.54%	1172766	1/1/2025 - 10/30/2025
Total	Total	7.98%	13.64%	109652639	1/1/2025 - 10/30/2025
<18 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
18-24 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
25-34 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
35-44 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
45-54 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
55-64 Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
65+ Years	Palau	NA	NA	5	1/1/2024 - 12/31/2024
Total	Palau	NA	NA	5	1/1/2024 - 12/31/2024
