Session Title,DM in ICD10  by State Age 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washington,5.57%,6.20%,6.81%,7.38%,7.92%,7.45%,7.26%,7.46%,7.79%,8.06%,9.30%,9.45%,9.95%,10.46%,10.92%,11.36%,10.73%,10.83%,10.79%,11.11%,11.48%,13.28%,98224,106854,115630,119551,124720,141703,153513,181583,190080,190551,115230
,Alaska,7.71%,8.98%,8.89%,9.31%,8.82%,8.70%,9.06%,8.38%,8.82%,8.27%,9.23%,11.87%,13.59%,13.33%,13.42%,12.95%,12.23%,13.49%,13.19%,14.14%,12.92%,15.18%,1154,1280,1440,1461,1452,1529,1357,1349,1315,1269,672
,Hawaii,6.80%,7.33%,7.61%,7.96%,7.95%,6.73%,7.67%,8.28%,8.64%,8.85%,10.33%,12.77%,13.63%,13.81%,14.04%,13.88%,11.75%,13.34%,14.33%,14.79%,15.50%,17.92%,60017,61020,60698,61523,60055,77583,70252,71660,74231,72671,42208
,District of Columbia,4.50%,4.20%,4.46%,4.90%,4.12%,2.32%,5.37%,6.23%,5.85%,6.23%,8.51%,9.19%,8.95%,8.70%,8.55%,7.46%,7.15%,10.11%,10.86%,9.90%,10.80%,14.46%,1622,1855,2333,2572,3256,9689,12206,12864,15954,14921,7593
,"Total: Total includes all data under the ≥ 45 and &lt; 55 Years bucket, including data from rows not currently displayed.",7.15%,7.46%,7.80%,8.18%,8.41%,8.10%,8.70%,8.95%,9.18%,9.62%,10.83%,11.74%,12.32%,12.86%,13.42%,13.66%,13.20%,14.11%,14.59%,15.00%,15.47%,17.46%,8574976,9640376,10429875,11080776,11640464,13730783,13957613,14903238,15924533,16354154,10722909
≥ 55 and < 65 Years,Puerto Rico,13.02%,13.22%,14.48%,15.18%,14.64%,12.45%,12.09%,7.93%,10.93%,16.60%,22.18%,24.50%,26.07%,29.98%,28.64%,28.51%,24.40%,26.96%,32.69%,31.62%,31.54%,36.77%,453,537,587,639,649,787,827,4075,9276,11712,7735
,Ohio,11.48%,12.20%,12.64%,13.12%,13.78%,13.89%,14.79%,15.24%,15.75%,16.06%,16.58%,18.41%,19.45%,20.17%,20.88%,21.36%,21.07%,21.80%,22.82%,23.46%,24.08%,26.02%,885334,925980,965947,986745,992761,1081979,1071339,1164645,1192795,1192052,891998
,Kentucky,11.62%,12.57%,13.14%,13.78%,14.50%,14.80%,16.09%,16.86%,17.19%,17.29%,18.27%,18.91%,19.80%,19.97%,20.32%,20.88%,21.52%,23.18%,24.52%,25.41%,26.04%,27.91%,223333,253408,274533,286916,292575,337017,349623,357224,359117,358297,262674
,West Virginia,6.69%,5.35%,5.56%,12.10%,14.81%,15.82%,16.74%,15.37%,15.02%,15.34%,16.57%,18.91%,19.77%,22.34%,23.75%,24.54%,24.02%,25.01%,24.65%,26.21%,27.53%,30.52%,59352,69355,84025,92458,97172,106465,106875,124866,139597,144490,102198
,Pennsylvania,8.73%,9.38%,10.13%,10.48%,10.78%,10.35%,11.16%,11.67%,12.06%,12.98%,14.15%,14.92%,16.01%,16.86%,17.34%,17.98%,17.84%,18.81%,19.54%,20.07%,20.80%,22.80%,681225,824156,945773,1019997,1040522,1191112,1163543,1176006,1188462,1177645,765887
,Michigan,11.51%,11.90%,12.94%,13.38%,13.11%,13.00%,13.57%,13.44%,12.85%,13.50%,14.44%,18.49%,18.34%,18.93%,19.33%,19.07%,18.93%,19.82%,19.83%,20.14%,21.38%,23.26%,375845,427829,452182,459528,579793,630001,602272,607341,718142,760985,568802
,Mississippi,12.05%,11.77%,11.34%,12.31%,13.68%,13.48%,14.14%,14.70%,15.32%,16.10%,18.00%,20.86%,20.34%,19.42%,19.62%,21.02%,20.93%,22.35%,23.39%,24.69%,26.22%,29.49%,86247,96995,129986,167909,169071,194959,205457,212421,220834,223684,154155
,Alabama,12.20%,12.71%,13.61%,13.34%,13.10%,11.17%,11.94%,12.96%,13.80%,15.40%,17.97%,19.02%,19.44%,19.60%,19.96%,20.62%,20.84%,23.12%,24.42%,25.49%,26.55%,30.13%,38022,41713,43990,51516,53966,81648,86254,91785,92519,91040,57251
,North Carolina,12.46%,12.93%,13.30%,13.89%,14.75%,14.11%,15.38%,16.02%,16.69%,16.89%,18.24%,19.72%,19.92%,20.32%,21.27%,21.85%,20.96%,22.17%,22.91%,23.72%,24.40%,26.75%,512329,561106,610963,675844,691913,845574,873305,907547,994540,1015540,739543
,Arkansas,7.41%,9.82%,10.78%,10.92%,11.12%,11.71%,12.29%,12.79%,12.73%,13.27%,14.80%,18.12%,19.96%,21.18%,21.72%,21.91%,21.78%,22.16%,23.00%,23.43%,24.43%,26.95%,79403,92787,98877,109519,113783,124361,120047,121180,124306,122115,82940
,Louisiana,13.39%,13.41%,12.81%,13.01%,13.35%,12.79%,13.15%,13.33%,13.54%,13.72%,14.39%,21.00%,21.59%,22.01%,22.39%,22.54%,21.53%,22.54%,23.32%,24.54%,25.50%,27.62%,194414,210807,233950,251321,258819,289919,307704,319004,337523,339260,247563
,North Dakota,9.95%,9.81%,10.16%,10.60%,11.03%,10.90%,11.16%,10.89%,11.46%,11.95%,12.86%,16.02%,16.39%,16.50%,16.83%,17.11%,17.31%,17.88%,18.21%,19.04%,19.82%,22.08%,57844,60368,61923,64019,64828,66394,66025,66221,70068,69233,50646
,Indiana,12.75%,13.20%,13.60%,14.93%,15.85%,15.78%,15.78%,15.75%,16.01%,16.93%,18.00%,19.49%,20.16%,20.61%,21.33%,22.21%,22.57%,23.11%,23.82%,24.58%,25.52%,27.65%,242083,265988,285679,304209,308879,342171,350683,353059,355063,353863,252653
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,27,32,33,34,25,22,27,29,32,27,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer
,Rhode Island,7.68%,8.82%,9.61%,10.35%,11.00%,11.14%,11.52%,12.97%,13.53%,14.05%,14.78%,16.53%,17.58%,18.06%,18.54%,18.78%,18.42%,18.88%,19.73%,20.30%,21.40%,22.64%,64433,73716,76423,79211,77554,82809,88055,90846,98992,93516,63105
,Iowa,10.97%,11.09%,11.27%,11.58%,11.80%,11.88%,12.53%,13.23%,14.15%,15.14%,16.22%,16.94%,17.40%,17.54%,17.85%,17.88%,17.89%,18.55%,19.59%,20.76%,22.18%,24.76%,155922,161861,167643,172594,176377,187794,183731,190280,196882,214138,154000
,Delaware,8.10%,9.65%,10.85%,11.71%,13.64%,14.98%,16.24%,15.75%,16.00%,17.24%,17.44%,13.78%,16.69%,18.47%,19.39%,19.85%,20.35%,21.89%,22.35%,23.25%,24.05%,25.38%,23729,33663,38436,42597,44677,52337,52326,55374,56509,59515,42374
,South Carolina,10.59%,11.61%,12.61%,13.65%,14.11%,13.19%,13.80%,14.36%,15.38%,15.40%,16.30%,17.27%,18.77%,19.86%,20.98%,21.24%,20.32%,21.69%,22.57%,23.78%,24.45%,26.34%,185963,227907,244623,277424,294337,373273,421046,467364,484179,489376,363224
,Massachusetts,8.98%,9.13%,9.45%,10.20%,10.45%,10.19%,10.92%,11.69%,12.37%,13.20%,14.38%,16.62%,16.84%,16.99%,17.51%,17.76%,17.11%,17.91%,18.61%,19.07%,19.62%,21.71%,186671,240839,291317,305825,308230,341881,378256,403546,453100,482636,354454
,Maryland,9.69%,9.74%,10.31%,11.71%,12.20%,10.90%,12.51%,12.84%,13.10%,13.84%,15.68%,17.15%,18.37%,19.31%,20.45%,20.36%,17.99%,20.61%,21.39%,22.09%,22.85%,25.15%,109154,134153,162436,191678,211279,267715,243840,248915,254164,254958,167831
,Tennessee,10.26%,10.07%,10.28%,10.45%,10.40%,10.29%,10.85%,10.92%,10.80%,12.42%,14.97%,18.89%,18.78%,19.33%,19.77%,20.07%,19.88%,20.61%,20.98%,21.48%,23.89%,27.44%,76794,100323,113837,121675,128870,149165,156165,163915,189596,219989,146479
,Wisconsin,11.61%,11.83%,12.21%,12.38%,12.50%,12.48%,13.50%,13.96%,14.47%,15.26%,16.48%,16.37%,16.43%,16.58%,16.78%,16.88%,17.09%,18.20%,18.84%,19.50%,20.35%,22.35%,372354,388235,401013,413957,431785,470665,452975,450167,445256,433939,317059
,Missouri,9.05%,10.76%,12.02%,12.60%,13.18%,12.68%,12.98%,13.36%,14.34%,14.80%,16.22%,18.23%,20.01%,20.66%,20.85%,21.09%,20.62%,21.06%,21.58%,22.56%,23.53%,26.07%,71100,84815,93507,99652,102238,112361,113038,129317,133664,132403,91554
,Illinois,11.05%,11.71%,12.06%,12.32%,13.03%,13.43%,14.43%,14.71%,15.21%,15.90%,17.24%,13.54%,14.12%,15.25%,17.73%,19.20%,19.89%,21.37%,22.00%,22.78%,23.82%,26.33%,483968,512648,556234,604315,620902,679065,658599,679737,700319,697889,486440
,Idaho,7.52%,8.16%,8.78%,9.35%,10.07%,11.14%,12.13%,12.67%,13.04%,12.90%,14.40%,13.07%,13.89%,14.46%,14.76%,15.26%,16.01%,17.40%,18.17%,18.71%,18.86%,21.35%,65262,72828,76126,83226,87003,95610,105290,107875,111203,112361,76856
,Connecticut,4.67%,5.75%,6.32%,6.92%,7.54%,7.94%,8.83%,9.49%,10.51%,11.51%,12.47%,14.37%,15.63%,16.38%,16.80%,17.02%,16.75%,17.66%,18.32%,19.23%,19.89%,21.73%,221104,259479,289008,309143,332873,369056,357827,356819,364389,380042,277975
,Georgia,12.04%,11.57%,11.74%,12.67%,13.45%,12.79%,13.20%,12.97%,13.68%,14.21%,16.17%,20.36%,19.48%,19.99%,21.23%,22.05%,21.01%,21.25%,21.92%,23.03%,24.01%,27.15%,212706,267087,326025,369069,380297,451232,510232,581641,614161,625392,407419
,Minnesota,11.13%,11.22%,11.46%,11.98%,12.38%,11.81%,12.71%,13.20%,13.66%,14.36%,15.32%,15.49%,15.53%,15.72%,16.14%,16.54%,16.05%,17.46%,18.17%,18.98%,20.07%,22.40%,269879,285847,296991,306813,304972,342493,313276,312509,309893,298211,199456
,Florida,7.11%,7.44%,7.63%,8.17%,8.18%,7.42%,6.96%,8.32%,9.38%,11.61%,13.62%,17.19%,17.67%,18.04%,18.34%,18.23%,17.67%,18.19%,19.28%,20.44%,21.88%,24.68%,329587,373740,397338,414008,438036,580319,835155,1014026,1082866,1165721,765801
,Virginia,11.98%,11.98%,12.35%,12.42%,12.78%,12.76%,13.32%,12.87%,13.12%,13.39%,15.17%,17.78%,18.06%,18.60%,18.93%,19.66%,19.78%,20.77%,20.74%,20.99%,21.52%,24.24%,372341,444263,469073,501953,522815,578210,590613,631552,636143,636008,427589
,Kansas,11.16%,11.81%,12.47%,13.02%,13.35%,12.84%,13.11%,12.46%,13.02%,13.83%,14.36%,18.82%,19.26%,19.47%,19.88%,19.96%,19.26%,19.80%,20.04%,20.72%,21.74%,23.39%,77457,82454,87211,89973,90509,97304,94967,114137,121215,125506,93505
,Maine,9.92%,9.32%,10.14%,10.44%,11.13%,10.84%,11.64%,12.19%,12.97%,12.91%,14.17%,11.80%,12.50%,14.34%,14.82%,15.27%,14.58%,16.08%,16.61%,17.52%,17.61%,19.34%,63601,83510,89515,98554,99133,112052,111472,107514,106895,106403,75703
,Texas,9.88%,10.32%,11.18%,11.46%,11.84%,10.99%,11.48%,12.22%,12.75%,13.66%,15.24%,19.26%,21.02%,22.07%,22.43%,23.14%,22.13%,23.57%,24.35%,24.74%,25.55%,28.37%,527444,694641,796234,876096,923763,1168200,1133834,1180322,1300507,1368006,912786
,Oklahoma,7.63%,7.92%,8.81%,9.18%,9.50%,9.49%,10.06%,9.99%,10.40%,12.47%,14.63%,17.68%,19.21%,20.67%,21.65%,22.21%,22.01%,22.76%,22.99%,23.39%,24.18%,27.12%,88136,122349,149962,161030,162202,170809,172790,191554,203887,204245,135785
,New Jersey,6.70%,7.31%,7.77%,8.60%,9.72%,9.12%,10.37%,11.30%,12.19%,13.10%,14.92%,13.86%,15.00%,16.28%,17.16%,17.99%,16.94%,18.32%,19.24%,20.50%,21.71%,24.64%,89762,122147,182379,231778,257196,342062,380376,426822,464351,475535,307758
,Nebraska,10.27%,11.10%,10.34%,10.72%,11.90%,11.84%,12.06%,12.09%,12.10%,12.74%,13.99%,17.45%,17.74%,17.46%,18.06%,18.82%,18.82%,19.06%,19.70%,20.10%,21.19%,23.43%,38102,45610,64330,72779,77282,84033,85686,87295,96603,99569,69092
,New York,10.78%,11.09%,10.74%,11.00%,11.18%,11.33%,12.59%,12.95%,13.22%,14.04%,16.03%,16.19%,17.10%,17.84%,19.13%,19.33%,18.85%,20.52%,21.29%,21.82%,22.51%,24.93%,539331,611624,691846,796606,897404,1113758,1092833,1123436,1165826,1180506,800440
,Montana,8.26%,8.83%,9.35%,9.63%,9.90%,9.96%,10.26%,10.01%,10.19%,11.19%,12.83%,12.63%,13.01%,13.29%,13.54%,13.48%,13.31%,13.87%,13.99%,15.49%,16.77%,19.44%,32902,35553,36930,37765,37554,39998,38462,45233,54191,54750,36307
,South Dakota,11.31%,10.91%,10.08%,10.59%,10.82%,10.29%,11.31%,11.41%,11.83%,12.27%,13.82%,15.21%,15.00%,14.17%,14.51%,14.45%,13.77%,15.11%,15.84%,16.53%,17.65%,20.42%,37408,40552,46768,47691,49039,53882,50174,48589,47691,46933,31594
,New Mexico,12.89%,12.04%,12.56%,13.37%,12.38%,12.17%,13.69%,14.90%,15.59%,16.04%,17.92%,18.84%,18.72%,19.41%,20.37%,19.96%,19.56%,20.75%,21.21%,21.29%,21.71%,24.17%,58632,70284,79568,84817,87181,93988,93083,94035,93663,93914,62036
,New Hampshire,7.64%,7.38%,8.25%,8.81%,9.22%,9.48%,9.92%,10.04%,10.52%,11.14%,12.19%,10.38%,11.46%,12.90%,13.46%,13.69%,14.05%,14.24%,14.51%,14.93%,15.77%,17.74%,63989,73354,78299,81275,83154,86783,87596,86079,86308,88827,63046
,Arizona,9.46%,9.25%,9.97%,10.81%,10.58%,9.56%,11.20%,11.75%,12.00%,12.72%,14.00%,15.19%,15.25%,15.82%,16.22%,15.78%,14.95%,16.70%,17.15%,17.36%,18.30%,20.48%,80613,97141,103739,107145,112687,141648,157408,175007,191283,199307,129045
,Utah,6.90%,8.17%,8.72%,9.04%,9.10%,8.72%,9.76%,9.69%,9.43%,8.32%,10.57%,14.32%,14.29%,14.42%,15.64%,16.19%,15.81%,17.06%,17.52%,17.64%,17.45%,19.87%,47332,50635,52075,53800,54177,62599,56972,60587,63795,125678,104248
,Oregon,9.56%,10.30%,10.84%,11.02%,11.44%,9.73%,11.83%,12.39%,12.95%,13.46%,15.16%,17.35%,17.57%,17.57%,17.80%,18.03%,15.43%,18.23%,18.96%,19.70%,20.32%,22.54%,163090,171248,183857,191094,193285,249050,213306,212115,215568,221375,153196
,Wyoming,9.20%,9.65%,10.08%,10.86%,11.32%,11.54%,11.84%,11.22%,10.98%,10.85%,12.17%,15.73%,16.04%,16.14%,16.55%,16.85%,16.72%,17.09%,16.73%,17.05%,18.10%,20.64%,14714,15701,16932,18012,18217,19175,19049,20946,21775,23668,15239
,California,7.70%,7.07%,7.47%,7.83%,8.20%,7.92%,9.14%,9.76%,10.79%,13.44%,15.80%,17.19%,16.19%,16.77%,18.29%,18.76%,17.36%,19.03%,19.76%,20.70%,21.96%,24.55%,330930,462771,532732,634804,730265,898740,898292,952104,1079326,1095079,713761
,Vermont,5.91%,6.33%,6.30%,6.28%,6.99%,6.89%,5.94%,5.36%,6.01%,6.99%,8.32%,10.17%,10.66%,10.95%,11.08%,11.95%,11.92%,12.42%,12.72%,13.12%,13.76%,15.45%,41860,43348,45075,50185,56488,60707,60025,60109,60206,59200,40325
,Nevada,8.96%,8.19%,8.04%,8.28%,6.76%,6.72%,8.12%,8.32%,9.26%,10.31%,13.25%,15.30%,15.55%,16.61%,17.29%,14.33%,14.02%,16.32%,16.80%,17.82%,18.89%,22.56%,43952,55987,70309,77299,98874,111990,98871,100098,105616,120287,72098
,Colorado,7.88%,8.47%,8.78%,9.24%,9.49%,8.58%,9.45%,9.29%,9.53%,10.09%,11.50%,14.02%,14.81%,15.24%,15.19%,15.10%,13.73%,15.25%,15.37%,15.96%,16.69%,18.63%,169816,190393,210298,224563,238731,295054,282060,297612,326772,326776,220771
,Washington,8.44%,8.94%,9.75%,10.40%,11.02%,10.41%,10.30%,10.64%,11.31%,11.80%,13.55%,14.51%,14.99%,15.45%,15.82%,16.33%,15.49%,15.71%,15.86%,16.33%,17.05%,19.58%,102152,115741,129137,135659,141061,156898,165817,191573,197538,197420,125218
,Alaska,9.21%,8.75%,10.18%,11.25%,10.89%,9.34%,10.73%,10.71%,11.44%,13.06%,16.69%,14.49%,14.60%,15.75%,16.17%,16.09%,14.62%,16.94%,16.86%,18.20%,19.53%,23.01%,1325,1623,1905,1929,1846,2024,1789,1821,1731,1623,869
,Hawaii,9.00%,9.47%,9.81%,10.36%,10.64%,9.36%,10.64%,11.74%,12.47%,12.73%,14.39%,17.45%,18.29%,18.83%,19.20%,19.25%,17.06%,19.19%,20.55%,21.54%,22.61%,25.73%,65948,68978,70255,72850,71769,89453,81717,83201,85388,84131,51825
,District of Columbia,6.09%,5.54%,5.52%,6.65%,6.46%,3.84%,7.84%,9.95%,10.14%,10.90%,13.80%,12.61%,12.68%,12.69%,13.09%,12.83%,12.66%,16.74%,18.59%,17.85%,19.51%,22.85%,1428,1624,1955,2254,2463,8926,12480,12859,14967,14184,7796
,"Total: Total includes all data under the ≥ 55 and &lt; 65 Years bucket, including data from rows not currently displayed.",10.22%,10.53%,10.91%,11.40%,11.81%,11.47%,12.21%,12.61%,13.10%,13.92%,15.42%,17.08%,17.70%,18.33%,19.06%,19.48%,18.99%,20.15%,20.85%,21.58%,22.46%,24.88%,9417263,10861755,12029806,13038366,13739435,16031237,16296123,17208001,18186475,18614262,12840004
65 Years or more,Puerto Rico,7.49%,9.59%,11.62%,11.67%,13.72%,12.95%,11.47%,7.15%,10.40%,15.36%,21.39%,24.93%,26.49%,29.87%,30.10%,30.04%,28.82%,29.22%,34.69%,32.97%,32.78%,39.07%,694,970,981,917,809,1027,1160,4938,10419,13596,9209
,Ohio,14.03%,14.83%,15.19%,15.78%,16.45%,16.48%,17.28%,17.78%,18.36%,18.61%,18.71%,23.74%,25.23%,26.33%,27.36%,27.80%,27.42%,27.94%,29.05%,29.71%,30.23%,31.19%,1126148,1201578,1277915,1335853,1391013,1576141,1625444,1848320,1951037,2015239,1693050
,Kentucky,13.52%,14.81%,15.47%,16.18%,17.09%,17.16%,18.24%,19.00%,19.38%,19.46%,20.20%,23.86%,25.48%,25.67%,26.02%,26.65%,27.03%,28.43%,29.58%,30.33%,30.79%,31.76%,282890,323650,357932,383276,398711,463764,498978,527049,545270,562178,455215
,West Virginia,6.95%,5.42%,5.44%,13.53%,16.72%,17.64%,18.63%,17.00%,16.83%,17.40%,18.52%,23.01%,23.92%,27.57%,29.58%,30.68%,29.86%,30.63%,29.88%,31.58%,33.12%,35.54%,78231,96462,118398,131686,142831,160635,169415,209067,242310,259400,202724
,Pennsylvania,11.35%,12.21%,13.03%,13.41%,13.79%,13.08%,13.86%,14.35%,14.72%,15.68%,16.72%,20.29%,21.76%,22.86%,23.61%,24.40%,24.17%,25.01%,25.58%,25.94%,26.54%,28.14%,912137,1119152,1321547,1452057,1519292,1786050,1811213,1901342,1986749,2049268,1468044
,Michigan,14.53%,15.13%,16.49%,17.07%,16.69%,16.43%,16.54%,16.22%,15.45%,16.23%,17.21%,24.99%,25.23%,26.15%,26.67%,26.42%,26.22%,26.74%,26.51%,26.45%,27.89%,29.72%,491393,565842,603750,631380,820519,912090,926315,965072,1190254,1284833,1038427
,Mississippi,13.73%,13.59%,12.54%,13.76%,15.25%,15.08%,15.76%,16.30%,16.89%,17.81%,19.23%,25.77%,25.45%,24.11%,24.64%,26.14%,25.97%,27.61%,28.78%,30.14%,31.83%,34.22%,123505,139921,197977,253804,260670,303596,326180,347794,373763,387224,297775
,Alabama,14.13%,14.49%,15.61%,14.91%,14.60%,12.66%,13.48%,14.21%,15.17%,16.68%,18.92%,23.73%,23.68%,24.28%,24.08%,25.12%,25.15%,27.52%,28.60%,29.47%,30.57%,33.40%,51635,58456,62686,77451,83432,127504,136869,148922,157368,161449,115106
,North Carolina,14.74%,15.41%,15.63%,16.32%,17.31%,16.40%,17.70%,18.27%,18.94%,19.04%,19.71%,25.35%,25.76%,26.26%,27.46%,28.24%,26.93%,28.26%,28.79%,29.49%,30.10%,31.17%,699910,779806,867037,968763,1003139,1253653,1314762,1413482,1583202,1657903,1369818
,Arkansas,7.90%,10.09%,11.00%,11.37%,11.85%,12.08%,12.52%,12.64%,12.57%,12.72%,14.69%,22.26%,23.57%,24.61%,25.33%,25.60%,25.21%,25.32%,25.76%,26.10%,26.90%,29.41%,112155,131188,141660,161444,167996,187914,188080,197715,209435,214818,150950
,Louisiana,16.32%,16.28%,15.36%,15.64%,15.94%,15.06%,14.96%,15.16%,15.56%,16.04%,16.49%,26.36%,27.45%,28.40%,29.25%,29.45%,27.94%,28.59%,29.29%,30.56%,31.54%,32.82%,236927,262453,300924,332215,351315,396232,443964,478439,529763,553784,458196
,North Dakota,14.13%,13.39%,13.52%,13.85%,13.98%,13.84%,13.62%,13.03%,13.54%,14.32%,15.18%,23.85%,24.19%,24.02%,24.14%,24.14%,23.90%,24.00%,24.00%,24.63%,25.39%,27.05%,71410,75688,79322,84572,89113,94661,99415,104757,115601,119404,98494
,Indiana,15.54%,15.62%,15.90%,17.56%,18.53%,18.33%,18.11%,17.98%,18.13%,19.12%,19.91%,25.97%,26.36%,26.71%,27.56%,28.26%,28.37%,28.73%,29.24%,29.89%,30.67%,32.02%,308683,343106,374267,404142,421772,484973,520666,544343,567636,586195,464468
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,51,55,59,68,48,48,71,91,94,70,40
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer
,Rhode Island,8.89%,10.68%,11.75%,12.82%,13.79%,13.91%,14.13%,15.66%,16.02%,16.55%,17.09%,23.18%,24.91%,25.50%,26.22%,26.76%,25.88%,25.87%,26.72%,27.33%,28.65%,29.48%,86742,98936,104084,109940,110856,122745,132473,142896,159355,158780,119946
,Iowa,12.97%,12.96%,13.01%,13.31%,13.71%,13.44%,13.91%,14.27%,14.89%,16.06%,16.76%,22.61%,22.77%,22.95%,23.11%,23.12%,22.74%,23.05%,23.61%,24.34%,25.82%,27.51%,206113,218889,230915,244210,254287,278725,287590,306971,330802,380600,306324
,Delaware,9.17%,11.75%,13.59%,14.83%,17.43%,18.37%,19.24%,18.70%,18.89%,19.12%,18.58%,18.72%,22.83%,25.31%,26.50%,27.35%,27.49%,28.51%,28.64%,29.15%,28.98%,29.47%,35815,49835,56674,63370,67738,80634,85118,94010,101308,118850,100540
,South Carolina,11.68%,13.26%,14.53%,15.69%,16.08%,14.76%,15.56%,16.34%,17.44%,17.49%,17.93%,21.20%,23.60%,25.09%,26.35%,26.41%,24.84%,26.75%,28.00%,29.17%,29.65%,30.58%,258357,323358,351605,409228,449872,586790,684809,776342,830840,864753,729421
,Massachusetts,11.56%,11.51%,12.30%,13.38%,13.83%,13.46%,13.99%,14.66%,15.33%,16.25%,17.42%,23.37%,23.15%,23.93%,24.70%,24.99%,24.09%,24.68%,25.34%,25.48%,26.13%,27.89%,234914,309509,369390,391715,402517,454817,531726,584881,700166,780833,633786
,Maryland,10.53%,10.91%,11.90%,13.96%,14.94%,13.84%,14.31%,14.35%,14.67%,15.45%,17.17%,20.23%,22.45%,24.06%,26.38%,26.80%,24.81%,26.12%,26.87%,27.51%,28.19%,29.72%,148305,187428,231950,270448,299241,365524,372823,391633,412670,429079,311956
,Tennessee,10.40%,10.34%,10.43%,10.59%,10.95%,11.09%,11.62%,11.64%,11.45%,13.09%,15.58%,23.26%,22.90%,23.66%,24.26%,24.81%,24.63%,25.38%,25.55%,25.71%,27.95%,30.98%,109188,143604,164952,180382,194049,232132,249972,270803,325041,387511,283025
,Wisconsin,15.30%,15.25%,15.51%,15.78%,15.88%,15.59%,16.60%,16.72%,17.02%,17.76%,18.76%,23.61%,23.40%,23.42%,23.52%,23.52%,23.61%,24.62%,24.85%,25.17%,25.71%,27.01%,439494,471651,500766,528448,566679,638305,642036,671916,699494,716286,589269
,Missouri,9.55%,11.69%,13.24%,14.19%,15.01%,13.84%,14.66%,15.13%,16.00%,16.27%,17.72%,21.39%,23.97%,25.28%,25.92%,26.26%,24.89%,25.71%,26.33%,27.08%,27.83%,29.82%,106437,127571,142661,155811,165209,188891,192765,222061,234060,241131,185447
,Illinois,12.64%,13.45%,13.93%,14.34%,15.14%,15.13%,16.03%,16.03%,16.37%,17.08%,17.93%,17.10%,17.83%,19.50%,23.10%,25.18%,25.76%,27.32%,27.71%,28.23%,29.24%,30.71%,673451,725667,798823,880541,918719,1043949,1025712,1096666,1167963,1199249,941313
