Session Title,DM in ICD10  by State Age 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idaho,10.09%,11.57%,12.37%,12.67%,13.45%,14.39%,15.18%,15.75%,16.16%,15.69%,16.67%,19.34%,20.34%,20.62%,20.82%,21.28%,21.63%,22.92%,23.73%,24.18%,24.01%,25.59%,92581,104479,113105,128051,136563,152143,176969,187500,200844,211734,169086
,Connecticut,5.89%,7.26%,8.03%,8.85%,9.92%,10.40%,11.30%,12.02%,13.39%,14.54%,15.02%,20.01%,21.63%,22.61%,23.17%,23.46%,23.19%,23.85%,24.21%,25.18%,25.83%,26.84%,296621,355439,396917,429096,459873,506824,517774,536427,567500,611134,506220
,Georgia,13.98%,13.02%,13.31%,14.61%,15.59%,14.82%,14.86%,14.58%,15.41%,15.79%,17.20%,25.65%,24.36%,25.03%,26.69%,27.68%,26.63%,26.31%,27.27%,28.53%,29.41%,31.33%,270104,357078,451821,516033,537732,652194,772724,892193,963784,1008442,756006
,Minnesota,14.41%,14.49%,14.85%,15.49%,15.88%,15.07%,15.51%,15.80%,16.06%,16.50%,17.00%,21.59%,21.66%,21.98%,22.48%,22.75%,22.07%,23.13%,23.49%,23.99%,24.69%,26.25%,356875,380413,404932,429949,442162,509506,492732,514920,533119,539707,406864
,Florida,7.64%,8.37%,8.63%,9.21%,9.05%,8.37%,8.12%,9.60%,10.67%,12.38%,13.86%,20.96%,21.60%,21.99%,22.49%,22.10%,21.40%,22.16%,23.86%,25.13%,26.63%,28.40%,440580,521086,568496,608620,672233,916225,1393396,1716993,1888959,2139526,1598661
,Virginia,13.20%,13.67%,14.14%,14.38%,14.71%,14.64%,15.20%,14.56%,14.79%,15.04%,16.30%,22.64%,23.30%,24.08%,24.66%,25.55%,25.57%,26.65%,26.66%,26.74%,27.00%,28.68%,524416,635063,686031,739742,776310,868826,912989,1008784,1041463,1073547,818154
,Kansas,12.74%,13.70%,14.53%,15.29%,15.60%,14.91%,15.27%,14.76%,15.37%,16.31%,16.68%,22.52%,23.51%,24.21%,24.52%,24.68%,24.01%,24.63%,25.12%,25.84%,27.16%,28.26%,109522,120356,129847,138271,145133,161530,165585,201265,221427,236082,195872
,Maine,12.93%,12.20%,13.29%,13.55%,14.13%,13.83%,14.58%,14.88%,15.54%,15.19%,16.07%,16.68%,17.33%,20.04%,20.45%,20.61%,19.90%,21.53%,21.37%,21.89%,21.38%,22.44%,91898,121841,132987,151629,158479,180619,194632,194798,203458,211025,166894
,Texas,10.57%,11.02%,12.12%,12.58%,13.11%,11.99%,12.21%,12.90%,13.37%,14.23%,15.37%,22.31%,23.53%,25.54%,26.54%,27.53%,26.09%,27.50%,28.13%,28.22%,29.41%,31.43%,625298,864890,1024408,1156245,1237933,1611366,1624643,1749718,1990477,2165583,1610849
,Oklahoma,8.49%,8.82%,9.69%,10.23%,10.69%,10.70%,10.91%,10.52%,10.66%,13.05%,14.98%,22.02%,23.70%,25.66%,26.79%,27.48%,26.94%,27.25%,26.96%,27.24%,27.94%,29.79%,132745,184602,222466,244996,252088,269269,277654,315481,346421,359850,268183
,New Jersey,7.85%,8.72%,9.33%,10.41%,11.79%,10.73%,11.85%,12.86%,14.16%,15.68%,17.37%,18.19%,19.68%,21.87%,23.33%,24.62%,23.04%,24.38%,25.25%,26.70%,28.32%,30.64%,121230,166668,262455,333865,367473,498144,572336,668418,745450,789816,572208
,Nebraska,9.95%,10.89%,9.84%,10.61%,12.25%,12.34%,12.56%,12.47%,12.86%,13.79%,15.06%,19.92%,20.12%,19.75%,21.16%,22.42%,22.44%,22.86%,23.04%,23.54%,24.74%,26.71%,53619,65780,101606,119566,129595,144953,153670,163528,185700,195839,146845
,New York,12.98%,13.42%,13.11%,13.41%,13.83%,14.05%,15.02%,15.19%,15.45%,16.42%,18.27%,21.18%,22.62%,23.74%,25.19%,25.93%,25.29%,26.62%,27.14%,27.60%,28.25%,30.10%,758568,862381,977443,1115983,1234599,1541387,1606796,1732142,1870442,1969225,1471122
,Montana,11.01%,12.05%,12.67%,12.95%,13.44%,13.13%,13.08%,12.32%,12.06%,13.24%,14.80%,17.87%,18.70%,18.90%,18.90%,19.00%,18.30%,18.58%,18.45%,19.86%,21.13%,23.19%,40307,45808,50098,53256,55101,60379,61773,79294,100148,105916,80354
,South Dakota,15.38%,14.68%,13.53%,14.33%,14.53%,13.52%,14.06%,13.97%,14.19%,14.72%,16.22%,22.48%,21.94%,20.78%,21.12%,21.14%,19.81%,20.75%,21.14%,21.74%,22.41%,24.85%,45134,51512,59777,63755,67669,77576,76621,78301,79939,81533,61918
,New Mexico,16.68%,15.26%,15.51%,16.23%,14.61%,14.10%,15.03%,15.80%,16.42%,16.17%,17.49%,24.18%,23.59%,24.25%,25.19%,24.40%,23.74%,24.25%,24.48%,24.60%,24.40%,25.66%,88963,108373,124778,136987,142493,157471,164869,173655,179647,187412,141823
,New Hampshire,9.55%,9.17%,10.56%,11.25%,11.78%,11.93%,12.28%,12.20%,12.70%,13.49%,14.39%,13.27%,14.92%,17.28%,18.34%,18.42%,18.41%,18.83%,18.71%,18.96%,19.78%,21.52%,80914,94562,101713,108092,115472,123122,132773,136419,144469,159708,124302
,Arizona,10.45%,9.85%,10.39%,11.41%,11.36%,9.46%,10.93%,11.13%,11.25%,11.65%,12.04%,18.75%,18.45%,19.37%,19.84%,19.53%,17.30%,19.05%,19.25%,19.41%,19.98%,21.14%,118927,150171,163876,176072,187116,253579,270012,306705,341468,367680,266830
,Utah,7.48%,8.74%,9.37%,9.69%,9.81%,9.58%,10.06%,9.93%,9.87%,9.68%,12.64%,18.74%,18.54%,18.74%,20.33%,21.36%,20.99%,21.56%,21.60%,21.82%,22.66%,25.38%,63533,68698,73485,78004,79390,90755,89450,97693,103333,242457,219101
,Oregon,10.63%,11.44%,12.11%,12.29%,12.98%,11.23%,13.02%,13.27%,13.91%,14.36%,15.42%,21.42%,21.57%,21.64%,21.66%,22.01%,19.50%,21.85%,22.19%,22.96%,23.43%,24.74%,222527,243113,272149,295970,306729,402178,368662,385365,398126,414802,321304
,Wyoming,11.72%,11.81%,12.26%,13.16%,13.87%,13.94%,13.59%,12.92%,12.74%,12.71%,14.15%,21.39%,21.11%,21.17%,21.78%,22.29%,22.15%,21.52%,20.85%,21.24%,22.14%,24.50%,20689,22811,25604,28428,29877,32894,35663,41236,45173,51088,37566
,California,8.40%,7.45%,7.99%,8.71%,9.37%,8.96%,9.84%,10.21%,11.26%,13.55%,15.57%,20.29%,18.87%,19.98%,21.80%,22.61%,20.81%,22.13%,22.74%,24.09%,25.48%,27.48%,423885,647119,771428,912340,1032710,1313807,1360961,1495106,1709098,1771829,1271345
,Vermont,6.76%,7.22%,7.08%,7.19%,8.68%,8.98%,7.50%,6.58%,7.28%,8.46%,9.50%,13.43%,14.09%,14.13%,14.57%,16.26%,16.47%,16.86%,16.98%,17.15%,17.61%,18.68%,57577,61320,66038,75780,86045,93700,98953,104225,109494,112641,86195
,Nevada,10.92%,10.16%,10.42%,10.58%,9.65%,8.50%,9.30%,9.29%,9.75%,10.86%,14.22%,20.18%,20.47%,21.24%,21.71%,20.05%,17.85%,19.55%,19.71%,20.14%,22.96%,26.92%,64447,78120,91951,101962,114067,150889,138713,147147,157241,218486,161112
,Colorado,10.20%,10.84%,11.13%,11.46%,11.95%,10.47%,11.36%,10.83%,10.98%,11.76%,12.94%,19.23%,20.19%,20.77%,20.49%,20.36%,18.12%,19.77%,19.54%,20.06%,20.98%,22.30%,218871,248729,277182,310072,331765,432955,436605,476189,553403,571169,436889
,Washington,10.61%,10.80%,11.68%,12.36%,12.88%,12.07%,11.69%,12.25%,12.97%,13.31%,14.78%,20.54%,20.47%,21.02%,21.36%,21.55%,20.29%,20.20%,20.62%,20.90%,21.30%,22.94%,132607,158380,181994,195341,205249,235156,260871,313804,334157,347641,253755
,Alaska,10.84%,10.88%,11.47%,12.23%,12.59%,10.50%,11.82%,10.52%,9.97%,10.80%,12.75%,21.25%,19.35%,18.93%,19.39%,19.72%,18.92%,19.29%,18.35%,16.96%,16.98%,19.37%,1412,1902,2345,2542,2525,2933,3053,3318,3531,3574,2189
,Hawaii,11.07%,11.31%,11.50%,11.98%,12.05%,10.70%,11.99%,12.68%,13.39%,13.31%,14.08%,23.54%,24.04%,24.49%,24.83%,24.97%,22.08%,24.53%,25.57%,26.54%,27.30%,28.82%,94989,103010,108615,115897,118266,150407,141674,149811,157525,161327,116127
,District of Columbia,6.55%,6.07%,6.44%,7.18%,7.08%,3.92%,7.37%,9.27%,9.72%,10.91%,13.57%,14.21%,13.72%,14.41%,16.27%,15.50%,14.92%,18.38%,20.03%,19.61%,21.32%,24.81%,1801,2143,2610,3092,3233,11764,17780,18971,22188,21446,13300
,"Total: Total includes all data under the 65 Years or more bucket, including data from rows not currently displayed.",12.15%,12.48%,12.92%,13.54%,14.08%,13.53%,14.08%,14.37%,14.84%,15.60%,16.81%,22.02%,22.73%,23.65%,24.64%,25.22%,24.43%,25.41%,26.00%,26.63%,27.48%,29.16%,12481753,14732109,16665538,18392155,19679823,23540910,24987661,27347522,29838858,31690617,24452994
"Total: Total includes all data, including data from rows not currently displayed.",Puerto Rico,6.23%,6.77%,7.93%,8.13%,8.53%,7.49%,7.28%,3.76%,4.85%,7.13%,11.05%,15.80%,16.39%,17.96%,18.07%,17.71%,16.58%,17.30%,17.34%,15.14%,14.71%,19.75%,2342,3056,3340,3371,3201,3993,4312,23858,58400,78227,46153
,Ohio,6.68%,7.09%,7.39%,7.69%,8.13%,8.20%,8.58%,8.81%,8.98%,9.20%,10.33%,11.09%,11.80%,12.39%,12.88%,13.29%,13.12%,13.37%,13.91%,14.09%,14.50%,16.80%,5325324,5615863,5840907,6002336,6076994,6750514,6914591,7704071,8072231,8095705,6050717
,Kentucky,6.54%,7.11%,7.56%,7.88%,8.36%,8.32%,8.95%,9.35%,9.41%,9.54%,11.00%,11.15%,11.80%,12.08%,12.22%,12.62%,12.63%,13.48%,14.16%,14.45%,14.88%,17.14%,1357049,1536374,1649528,1734581,1786275,2130787,2253548,2345736,2405323,2403982,1747141
,West Virginia,3.84%,3.10%,3.34%,7.23%,8.88%,9.37%,9.77%,8.91%,8.73%,8.97%,10.59%,11.68%,12.33%,14.15%,15.00%,15.69%,15.12%,15.40%,15.05%,15.90%,16.71%,20.04%,355958,416358,496935,552316,586575,647638,673489,808740,919556,962288,673651
,Pennsylvania,4.98%,5.40%,5.91%,6.13%,6.33%,6.04%,6.49%,6.78%,6.95%,7.51%,8.65%,8.75%,9.48%,10.19%,10.58%,11.02%,10.88%,11.44%,11.83%,12.05%,12.55%,14.53%,4276575,5136708,5843303,6314934,6502874,7576978,7543439,7790122,8013999,7963045,5409683
,Michigan,6.51%,6.78%,7.41%,7.73%,7.75%,7.62%,7.78%,7.62%,7.48%,7.93%,9.40%,10.99%,10.98%,11.39%,11.72%,11.84%,11.69%,12.05%,11.95%,12.34%,13.19%,15.73%,2357593,2679067,2832642,2892439,3601092,3981677,3952681,4088055,4810416,5073267,3668095
,Mississippi,6.88%,6.90%,6.90%,7.60%,8.45%,8.21%,8.59%,8.97%,9.38%,9.94%,12.10%,12.56%,12.55%,12.61%,12.88%,13.75%,13.45%,14.28%,15.06%,15.98%,17.05%,20.75%,540115,600486,761785,969979,990133,1170342,1252840,1311361,1374349,1390555,944685
,Alabama,8.41%,8.79%,9.58%,9.37%,9.15%,7.65%,8.07%,7.20%,7.30%,8.17%,10.54%,13.62%,13.85%,14.41%,14.54%,15.12%,14.89%,16.20%,13.96%,13.74%,14.36%,17.87%,187018,206351,215458,257116,274508,430538,472364,640379,699688,692304,428287
,North Carolina,7.07%,7.47%,7.66%,7.99%,8.52%,7.95%,8.53%,8.86%,9.23%,9.42%,11.13%,11.70%,12.03%,12.33%,12.86%,13.32%,12.47%,13.01%,13.40%,13.82%,14.29%,16.95%,3294923,3604278,3958085,4404741,4527929,5652004,5961230,6296278,6912562,6941335,4962417
,Arkansas,4.42%,5.49%,5.90%,6.01%,6.15%,6.24%,6.50%,6.77%,6.77%,7.01%,8.75%,11.44%,11.86%,12.21%,12.45%,12.49%,12.13%,12.20%,12.73%,13.02%,13.59%,16.33%,485017,586951,639640,719985,760669,861525,845181,856783,885191,876984,573042
,Louisiana,7.55%,7.42%,6.94%,7.08%,7.28%,6.78%,7.00%,7.01%,7.30%,7.53%,8.81%,12.24%,12.43%,12.41%,12.68%,12.85%,12.00%,12.64%,12.93%,13.84%,14.46%,17.22%,1192710,1328036,1502215,1626465,1690215,1924058,2060302,2208945,2340247,2370432,1698254
,North Dakota,5.27%,5.18%,5.37%,5.57%,5.73%,5.67%,5.71%,5.65%,5.84%,6.12%,7.20%,8.70%,8.94%,9.01%,9.19%,9.30%,9.27%,9.49%,9.74%,10.07%,10.41%,12.47%,411976,431119,439352,458538,472201,496168,509133,521554,561680,573152,423941
,Indiana,7.01%,7.17%,7.42%,8.18%,8.77%,8.61%,8.60%,8.61%,8.70%,9.32%,10.85%,11.33%,11.62%,11.86%,12.30%,12.89%,12.88%,13.22%,13.62%,14.00%,14.68%,17.18%,1538889,1708837,1842081,1962414,1993759,2281484,2398420,2468528,2533027,2522995,1747282
,Nova Scotia,,,,,,,,,,,,,,,7.65%,7.59%,,,6.13%,5.43%,,,129,154,162,170,145,138,182,212,221,183,85
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,15,26,39,78,89,126,168,38
,Rhode Island,4.46%,5.28%,5.78%,6.29%,6.92%,7.04%,7.07%,7.73%,7.77%,8.19%,9.31%,10.47%,11.39%,11.75%,12.17%,12.75%,12.42%,12.33%,12.67%,12.66%,13.56%,15.45%,387676,438854,453791,470175,453046,491156,538402,578559,652209,626272,434617
,Iowa,5.56%,5.65%,5.76%,5.94%,6.16%,6.11%,6.38%,6.60%,6.96%,7.71%,8.91%,9.04%,9.26%,9.40%,9.59%,9.72%,9.64%,9.90%,10.28%,10.74%,11.80%,14.01%,1106383,1156614,1198516,1240784,1258498,1369815,1387258,1467648,1557185,1672099,1217306
,Delaware,3.61%,4.72%,5.51%,6.08%,7.22%,7.97%,8.42%,8.31%,8.44%,9.22%,10.25%,6.54%,8.53%,9.76%,10.45%,11.03%,11.47%,12.08%,12.37%,12.79%,13.68%,15.79%,200150,258090,292769,322749,332992,380406,396295,427667,443259,463440,321004
,South Carolina,6.16%,6.70%,7.26%,7.87%,8.26%,7.63%,7.96%,8.36%,8.94%,9.06%,10.42%,10.42%,11.31%,12.00%,12.71%,13.07%,12.30%,13.15%,13.81%,14.52%,14.93%,17.29%,1134337,1430879,1559498,1768629,1875329,2441765,2802354,3121736,3275202,3271131,2432058
,Massachusetts,4.89%,5.15%,5.47%,5.95%,6.16%,5.97%,6.41%,6.69%,7.04%,7.72%,9.21%,9.54%,9.94%,10.23%,10.61%,10.86%,10.41%,10.97%,11.19%,11.38%,12.05%,14.40%,1208500,1512773,1798221,1887025,1911262,2159523,2400402,2642876,3049978,3185608,2318496
,Maryland,5.96%,5.97%,6.46%,7.29%,7.66%,6.82%,7.59%,7.72%,7.90%,8.41%,10.45%,11.01%,11.79%,12.59%,13.34%,13.41%,11.88%,13.31%,13.80%,14.24%,14.83%,17.63%,616011,771413,932989,1104062,1222304,1560420,1472950,1514402,1566157,1574569,1027137
,Tennessee,6.16%,6.02%,6.06%,6.19%,6.34%,6.26%,6.55%,6.61%,6.49%,7.44%,9.86%,12.54%,12.18%,12.49%,12.84%,13.23%,12.98%,13.35%,13.56%,13.74%,15.13%,18.84%,429542,574157,662386,708277,745943,887856,949971,1012884,1189692,1381108,900772
,Wisconsin,6.14%,6.31%,6.52%,6.68%,6.87%,6.87%,7.37%,7.58%,7.78%,8.25%,9.63%,9.09%,9.21%,9.35%,9.50%,9.73%,9.87%,10.45%,10.75%,10.99%,11.48%,13.46%,2482340,2566875,2661483,2745251,2846370,3124651,3112603,3160737,3196691,3163530,2321929
,Missouri,5.98%,6.83%,7.53%,7.91%,8.39%,8.00%,7.92%,7.99%,8.25%,8.48%,10.23%,12.49%,13.29%,13.71%,13.90%,14.17%,13.71%,13.46%,13.46%,13.56%,14.10%,16.95%,377022,474734,540037,588158,612398,663640,710114,840187,902766,910513,627054
,Illinois,5.86%,6.25%,6.47%,6.77%,7.25%,7.34%,7.73%,7.88%,8.15%,8.66%,10.32%,7.47%,7.78%,8.42%,10.25%,11.30%,11.62%,12.22%,12.57%,13.01%,13.81%,16.57%,3304571,3521271,3855204,4010880,4104673,4618904,4659528,4865928,5066783,5015597,3436826
,Idaho,4.66%,5.14%,5.59%,5.92%,6.29%,6.79%,7.10%,7.38%,7.55%,7.43%,9.04%,8.44%,8.88%,9.23%,9.54%,9.78%,9.99%,10.50%,10.97%,11.19%,11.25%,13.69%,419033,473671,502853,552074,593094,661649,765625,800814,848247,846796,587511
,Connecticut,2.77%,3.47%,3.87%,4.27%,4.69%,4.75%,5.32%,5.74%,6.38%,7.16%,8.54%,8.74%,9.80%,10.43%,10.80%,10.92%,10.43%,11.11%,11.53%,12.08%,12.78%,15.24%,1417599,1609946,1754022,1860794,1988864,2267581,2208234,2224578,2296102,2344393,1679689
,Georgia,5.54%,5.59%,5.78%,6.35%,7.02%,6.79%,7.05%,7.08%,7.54%,7.90%,10.05%,9.96%,10.04%,10.47%,11.25%,12.15%,11.80%,12.09%,12.71%,13.43%,14.14%,17.67%,1655721,1975819,2403784,2689553,2676663,3132026,3624480,3991975,4223088,4199002,2659046
,Minnesota,6.07%,6.20%,6.42%,6.77%,7.03%,6.78%,7.14%,7.33%,7.57%,7.93%,9.25%,8.86%,9.01%,9.27%,9.60%,9.85%,9.66%,10.32%,10.60%,11.03%,11.61%,13.98%,1861693,1958489,2024748,2097684,2098667,2335821,2233069,2289575,2299089,2255403,1461800
,Florida,4.02%,4.35%,4.51%,4.87%,4.98%,4.51%,4.28%,5.02%,5.62%,6.84%,8.65%,10.11%,10.66%,10.92%,11.23%,11.44%,10.88%,11.23%,11.89%,12.62%,13.80%,16.70%,2061680,2304082,2459079,2563678,2686570,3670963,5400324,6652709,7196621,7707786,5107145
,Virginia,6.80%,7.07%,7.38%,7.50%,7.84%,7.72%,7.97%,7.69%,7.79%,8.08%,9.92%,10.96%,11.47%,11.96%,12.24%,12.96%,12.82%,13.30%,13.30%,13.35%,13.79%,16.72%,2296180,2667038,2810215,2995695,3084289,3492447,3691661,3967997,4056715,4012856,2708087
,Kansas,6.70%,7.18%,7.64%,8.05%,8.35%,8.05%,8.26%,7.81%,8.12%,8.60%,9.54%,11.66%,12.12%,12.47%,12.82%,13.06%,12.64%,13.04%,13.11%,13.45%,14.14%,16.09%,456166,489860,522085,544948,549061,600754,612541,748043,808155,851865,642950
,Maine,6.63%,6.30%,6.90%,7.17%,7.55%,7.32%,7.81%,8.20%,8.62%,8.48%,9.81%,8.26%,8.73%,10.09%,10.54%,10.79%,10.34%,11.27%,11.58%,11.99%,11.83%,13.62%,359726,464646,501545,555224,575801,661444,670919,664258,678890,665398,485279
,Texas,4.51%,4.98%,5.35%,5.53%,5.83%,5.37%,5.53%,5.89%,6.19%,6.72%,8.24%,8.90%,10.15%,10.66%,11.04%,11.67%,11.13%,11.69%,12.11%,12.45%,13.14%,15.91%,4018830,5002977,5877899,6467924,6742150,8675625,8758475,9236681,10105399,10588468,6854741
,Oklahoma,4.45%,4.54%,4.95%,5.26%,5.54%,5.49%,5.59%,5.41%,5.62%,6.81%,8.71%,10.71%,11.61%,12.49%,13.25%,13.72%,13.41%,13.45%,13.34%,13.40%,13.85%,16.61%,542483,755096,926084,996832,1009932,1087412,1142284,1311727,1431269,1461216,961589
,New Jersey,3.70%,4.20%,4.72%,5.30%,5.97%,5.58%,6.37%,6.95%,7.47%,8.16%,10.05%,7.81%,8.83%,10.26%,11.09%,11.70%,11.12%,12.14%,12.74%,13.36%,14.27%,17.23%,594902,767974,1086326,1344054,1477238,1965869,2186388,2497310,2782864,2883339,1881188
,Nebraska,5.93%,6.32%,5.86%,6.25%,7.06%,6.98%,7.07%,7.11%,7.20%,7.65%,9.03%,10.61%,10.70%,10.63%,11.30%,11.97%,11.80%,11.98%,12.30%,12.54%,13.23%,15.61%,233047,280326,399076,456675,485505,543128,569498,591588,663724,692469,481749
,New York,6.31%,6.45%,6.33%,6.45%,6.49%,6.53%,7.40%,7.67%,7.81%,8.38%,10.45%,9.91%,10.45%,11.03%,11.74%,11.81%,11.44%,12.74%,13.27%,13.54%,14.09%,16.86%,3302897,3774996,4236884,4877168,5529447,6927767,6773590,6984271,7372014,7428848,4961905
,Montana,4.90%,5.36%,5.70%,5.90%,6.09%,5.94%,5.98%,5.85%,5.96%,6.59%,8.31%,7.74%,8.11%,8.36%,8.48%,8.48%,8.16%,8.35%,8.56%,9.53%,10.34%,12.89%,196947,215908,226813,235337,242082,267935,269740,323539,383932,394305,263558
,South Dakota,5.97%,5.98%,5.55%,5.87%,5.97%,5.69%,5.98%,6.07%,6.13%,6.42%,7.63%,8.30%,8.50%,8.10%,8.31%,8.30%,7.96%,8.44%,8.82%,9.06%,9.57%,11.56%,268833,287941,316190,327085,342173,381163,373153,371369,376606,375929,263737
,New Mexico,7.51%,7.29%,7.69%,8.16%,7.58%,7.48%,8.23%,8.86%,9.16%,9.08%,10.88%,11.02%,11.40%,12.04%,12.68%,12.55%,12.40%,12.93%,13.24%,13.20%,13.12%,15.42%,431254,494126,550209,588928,563869,612714,634361,651291,665317,666298,447045
,New Hampshire,4.82%,4.72%,5.37%,5.74%,6.04%,6.21%,6.47%,6.55%,6.82%,7.37%,8.47%,6.54%,7.40%,8.50%,8.97%,9.17%,9.38%,9.65%,9.77%,9.99%,10.66%,12.53%,359767,405623,426485,443765,459702,483282,496090,496364,512786,528648,383980
,Arizona,6.11%,6.07%,6.54%,7.17%,7.19%,6.20%,6.47%,6.56%,6.58%,6.98%,8.21%,10.45%,10.67%,11.24%,11.66%,11.54%,10.43%,10.37%,10.34%,10.32%,10.90%,12.97%,449245,538569,572060,605971,650479,866823,1059782,1222056,1379498,1431201,889897
,Utah,3.27%,3.93%,4.27%,4.39%,4.35%,4.12%,4.47%,4.39%,4.29%,4.55%,6.29%,7.43%,7.40%,7.51%,8.10%,8.34%,7.98%,8.47%,8.57%,8.62%,9.95%,12.00%,365144,391632,408836,432359,449865,534726,508037,544089,578909,1075976,904509
,Oregon,5.00%,5.40%,5.67%,5.77%,5.98%,5.14%,6.10%,6.33%,6.55%,6.85%,8.29%,9.44%,9.54%,9.58%,9.66%,9.78%,8.53%,9.85%,10.21%,10.49%,10.85%,12.92%,1145904,1226387,1339798,1422423,1464342,1899867,1691243,1713732,1776673,1806853,1235433
,Wyoming,5.81%,6.15%,6.47%,6.92%,7.35%,7.30%,7.39%,6.91%,6.82%,6.80%,8.35%,10.30%,10.49%,10.76%,11.13%,11.56%,11.29%,11.40%,10.93%,11.11%,11.70%,14.40%,88394,94273,101713,110154,112253,124471,129379,144272,153144,169319,111781
,California,3.83%,3.76%,4.16%,4.39%,4.46%,4.21%,4.60%,4.87%,5.37%,6.64%,8.52%,8.92%,8.97%,9.75%,10.44%,10.40%,9.46%,9.97%,10.33%,10.93%,11.70%,14.19%,2335320,3103857,3454804,4154112,4963768,6327688,6695130,7141416,8024610,8094833,5206521
,Vermont,4.31%,4.64%,4.63%,4.52%,4.95%,4.86%,4.20%,3.75%,4.18%,4.90%,6.01%,7.66%,8.14%,8.32%,8.35%,8.75%,8.61%,9.05%,9.17%,9.38%,9.85%,11.42%,206541,213675,223313,255395,300432,334671,338673,350242,359602,357489,250934
,Nevada,5.37%,4.86%,4.52%,4.55%,3.54%,3.58%,4.19%,4.41%,4.83%,5.59%,8.35%,9.69%,9.66%,9.37%,9.56%,7.59%,7.70%,8.78%,9.18%,9.62%,11.09%,15.13%,270325,343517,454051,512634,692179,776188,701274,708225,748539,859041,511996
,Colorado,3.84%,4.14%,4.37%,4.63%,4.82%,4.36%,4.74%,4.55%,4.79%,5.23%,6.56%,7.21%,7.65%,7.99%,8.06%,8.08%,7.34%,8.00%,7.90%,8.43%,9.07%,11.03%,1364874,1528639,1666660,1791432,1895707,2371847,2360038,2465725,2672380,2624000,1745081
,Washington,4.45%,4.80%,5.29%,5.70%,6.13%,5.71%,5.57%,5.85%,6.18%,6.49%,8.24%,8.11%,8.47%,8.91%,9.22%,9.63%,9.04%,9.07%,9.28%,9.49%,9.95%,12.40%,714195,800183,882789,925586,948130,1086893,1188253,1389496,1458298,1457077,906832
,Alaska,5.08%,5.26%,5.70%,6.23%,6.14%,5.44%,6.05%,5.99%,5.91%,5.98%,7.86%,8.65%,8.82%,8.98%,9.52%,9.46%,8.90%,9.61%,9.83%,9.69%,9.34%,11.61%,8580,10042,11649,11970,11919,13205,12449,12388,12819,13111,7190
,Hawaii,5.78%,6.09%,6.31%,6.67%,6.90%,5.70%,6.46%,7.06%,7.43%,7.63%,9.42%,11.57%,12.18%,12.59%,12.89%,13.22%,10.95%,12.30%,13.26%,13.75%,14.55%,17.90%,399351,414645,422738,439246,430729,575539,533730,544314,567822,556442,339030
,District of Columbia,2.44%,2.35%,2.40%,2.74%,2.53%,1.72%,3.79%,4.80%,4.69%,5.30%,7.70%,4.99%,5.04%,5.02%,5.50%,4.96%,5.51%,8.37%,9.37%,8.67%,9.76%,13.29%,17006,19289,22449,24899,29382,75783,90633,93336,114363,105555,55111
,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",5.63%,5.88%,6.15%,6.46%,6.74%,6.47%,6.82%,7.03%,7.28%,7.79%,9.42%,9.82%,10.31%,10.78%,11.29%,11.63%,11.23%,11.83%,12.20%,12.58%,13.23%,15.81%,61129681,69957926,77402511,83906824,88583858,105400238,110032890,117902259,126132021,128728351,88071787
