age	state	bmi_30_49.8	dm_(%)	n_obesity_state	Year
<18 Years	Mississippi	8.76%	NA	262401	1/1/2025 - 11/12/2025
<18 Years	Alabama	8.07%	NA	44433	1/1/2025 - 11/12/2025
<18 Years	West Virginia	8.47%	NA	180711	1/1/2025 - 11/12/2025
<18 Years	Kentucky	8.33%	NA	443594	1/1/2025 - 11/12/2025
<18 Years	Nebraska	6.70%	NA	74516	1/1/2025 - 11/12/2025
<18 Years	Indiana	7.01%	NA	442894	1/1/2025 - 11/12/2025
<18 Years	Ohio	6.52%	NA	1320691	1/1/2025 - 11/12/2025
<18 Years	Maryland	6.68%	NA	165735	1/1/2025 - 11/12/2025
<18 Years	Kansas	6.60%	NA	109807	1/1/2025 - 11/12/2025
<18 Years	Missouri	6.82%	NA	129977	1/1/2025 - 11/12/2025
<18 Years	Louisiana	7.51%	NA	355614	1/1/2025 - 11/12/2025
<18 Years	South Carolina	7.53%	NA	503373	1/1/2025 - 11/12/2025
<18 Years	Tennessee	7.77%	NA	199744	1/1/2025 - 11/12/2025
<18 Years	Iowa	6.82%	NA	371469	1/1/2025 - 11/12/2025
<18 Years	Oklahoma	8.21%	NA	221923	1/1/2025 - 11/12/2025
<18 Years	North Carolina	6.68%	NA	886899	1/1/2025 - 11/12/2025
<18 Years	Virginia	6.69%	NA	507178	1/1/2025 - 11/12/2025
<18 Years	Michigan	6.45%	NA	778356	1/1/2025 - 11/12/2025
<18 Years	Puerto Rico	9.67%	NA	17164	1/1/2025 - 11/12/2025
<18 Years	Illinois	6.76%	NA	940680	1/1/2025 - 11/12/2025
<18 Years	Delaware	7.81%	NA	115030	1/1/2025 - 11/12/2025
<18 Years	Arkansas	7.66%	NA	200730	1/1/2025 - 11/12/2025
<18 Years	Pennsylvania	5.83%	NA	1112364	1/1/2025 - 11/12/2025
<18 Years	Wisconsin	5.98%	NA	628447	1/1/2025 - 11/12/2025
<18 Years	New Jersey	6.66%	NA	378408	1/1/2025 - 11/12/2025
<18 Years	Minnesota	5.52%	NA	399266	1/1/2025 - 11/12/2025
<18 Years	Connecticut	6.98%	NA	345385	1/1/2025 - 11/12/2025
<18 Years	North Dakota	5.21%	NA	127315	1/1/2025 - 11/12/2025
<18 Years	Georgia	6.21%	NA	584723	1/1/2025 - 11/12/2025
<18 Years	New York	7.02%	NA	726720	1/1/2025 - 11/12/2025
<18 Years	Texas	6.38%	NA	2418857	1/1/2025 - 11/12/2025
<18 Years	Maine	6.76%	NA	99328	1/1/2025 - 11/12/2025
<18 Years	New Mexico	7.67%	NA	19534	1/1/2025 - 11/12/2025
<18 Years	Florida	6.38%	NA	1197888	1/1/2025 - 11/12/2025
<18 Years	Wyoming	4.96%	NA	26991	1/1/2025 - 11/12/2025
<18 Years	Idaho	5.29%	NA	160701	1/1/2025 - 11/12/2025
<18 Years	New Hampshire	5.76%	NA	83524	1/1/2025 - 11/12/2025
<18 Years	Montana	4.77%	NA	54295	1/1/2025 - 11/12/2025
<18 Years	Arizona	5.40%	NA	193719	1/1/2025 - 11/12/2025
<18 Years	Massachusetts	6.29%	NA	526942	1/1/2025 - 11/12/2025
<18 Years	South Dakota	4.78%	NA	84259	1/1/2025 - 11/12/2025
<18 Years	District of Columbia	5.20%	NA	2058	1/1/2025 - 11/12/2025
<18 Years	Oregon	6.10%	NA	359392	1/1/2025 - 11/12/2025
<18 Years	Vermont	6.09%	NA	43674	1/1/2025 - 11/12/2025
<18 Years	Alaska	4.34%	NA	1450	1/1/2025 - 11/12/2025
<18 Years	California	6.11%	NA	1434082	1/1/2025 - 11/12/2025
<18 Years	Colorado	4.35%	NA	487323	1/1/2025 - 11/12/2025
<18 Years	Hawaii	5.59%	NA	84215	1/1/2025 - 11/12/2025
<18 Years	Nevada	6.01%	NA	120597	1/1/2025 - 11/12/2025
<18 Years	Rhode Island	5.72%	NA	109351	1/1/2025 - 11/12/2025
<18 Years	Utah	2.96%	NA	147803	1/1/2025 - 11/12/2025
<18 Years	Washington	5.20%	NA	207209	1/1/2025 - 11/12/2025
<18 Years	None of the above	5.27%	NA	214881	1/1/2025 - 11/12/2025
<18 Years	Total	6.46%	NA	20653620	1/1/2025 - 11/12/2025
18-24 Years	Mississippi	37.01%	NA	103559	1/1/2025 - 11/12/2025
18-24 Years	Alabama	34.45%	NA	22722	1/1/2025 - 11/12/2025
18-24 Years	West Virginia	36.85%	NA	63616	1/1/2025 - 11/12/2025
18-24 Years	Kentucky	35.17%	NA	171567	1/1/2025 - 11/12/2025
18-24 Years	Nebraska	27.58%	NA	57738	1/1/2025 - 11/12/2025
18-24 Years	Indiana	32.70%	NA	170158	1/1/2025 - 11/12/2025
18-24 Years	Ohio	30.45%	NA	578442	1/1/2025 - 11/12/2025
18-24 Years	Maryland	28.34%	NA	96772	1/1/2025 - 11/12/2025
18-24 Years	Kansas	28.62%	NA	56714	1/1/2025 - 11/12/2025
18-24 Years	Missouri	30.89%	NA	63323	1/1/2025 - 11/12/2025
18-24 Years	Louisiana	31.80%	NA	150671	1/1/2025 - 11/12/2025
18-24 Years	South Carolina	31.00%	NA	203272	1/1/2025 - 11/12/2025
18-24 Years	Tennessee	34.05%	NA	79396	1/1/2025 - 11/12/2025
18-24 Years	Iowa	30.47%	NA	129486	1/1/2025 - 11/12/2025
18-24 Years	Oklahoma	34.93%	NA	70409	1/1/2025 - 11/12/2025
18-24 Years	North Carolina	30.08%	NA	374265	1/1/2025 - 11/12/2025
18-24 Years	Virginia	28.34%	NA	246316	1/1/2025 - 11/12/2025
18-24 Years	Michigan	27.77%	NA	333780	1/1/2025 - 11/12/2025
18-24 Years	Puerto Rico	32.14%	NA	6310	1/1/2025 - 11/12/2025
18-24 Years	Illinois	29.02%	NA	343543	1/1/2025 - 11/12/2025
18-24 Years	Delaware	33.31%	NA	28106	1/1/2025 - 11/12/2025
18-24 Years	Arkansas	35.62%	NA	54654	1/1/2025 - 11/12/2025
18-24 Years	Pennsylvania	26.66%	NA	453860	1/1/2025 - 11/12/2025
18-24 Years	Wisconsin	26.42%	NA	210598	1/1/2025 - 11/12/2025
18-24 Years	New Jersey	25.95%	NA	175495	1/1/2025 - 11/12/2025
18-24 Years	Minnesota	25.50%	NA	154626	1/1/2025 - 11/12/2025
18-24 Years	Connecticut	24.31%	NA	159000	1/1/2025 - 11/12/2025
18-24 Years	North Dakota	25.89%	NA	45736	1/1/2025 - 11/12/2025
18-24 Years	Georgia	28.61%	NA	188405	1/1/2025 - 11/12/2025
18-24 Years	New York	25.70%	NA	372003	1/1/2025 - 11/12/2025
18-24 Years	Texas	31.42%	NA	642414	1/1/2025 - 11/12/2025
18-24 Years	Maine	25.84%	NA	38732	1/1/2025 - 11/12/2025
18-24 Years	New Mexico	29.08%	NA	12169	1/1/2025 - 11/12/2025
18-24 Years	Florida	27.18%	NA	455196	1/1/2025 - 11/12/2025
18-24 Years	Wyoming	26.11%	NA	9801	1/1/2025 - 11/12/2025
18-24 Years	Idaho	26.33%	NA	60664	1/1/2025 - 11/12/2025
18-24 Years	New Hampshire	23.06%	NA	31863	1/1/2025 - 11/12/2025
18-24 Years	Montana	22.28%	NA	26472	1/1/2025 - 11/12/2025
18-24 Years	Arizona	23.87%	NA	94106	1/1/2025 - 11/12/2025
18-24 Years	Massachusetts	22.54%	NA	225130	1/1/2025 - 11/12/2025
18-24 Years	South Dakota	23.58%	NA	30623	1/1/2025 - 11/12/2025
18-24 Years	District of Columbia	20.81%	NA	6637	1/1/2025 - 11/12/2025
18-24 Years	Oregon	24.50%	NA	128361	1/1/2025 - 11/12/2025
18-24 Years	Vermont	20.42%	NA	20846	1/1/2025 - 11/12/2025
18-24 Years	Alaska	16.06%	NA	1233	1/1/2025 - 11/12/2025
18-24 Years	California	23.69%	NA	552384	1/1/2025 - 11/12/2025
18-24 Years	Colorado	22.17%	NA	174985	1/1/2025 - 11/12/2025
18-24 Years	Hawaii	23.79%	NA	30965	1/1/2025 - 11/12/2025
18-24 Years	Nevada	24.10%	NA	56564	1/1/2025 - 11/12/2025
18-24 Years	Rhode Island	19.18%	NA	42171	1/1/2025 - 11/12/2025
18-24 Years	Utah	17.13%	NA	63616	1/1/2025 - 11/12/2025
18-24 Years	Washington	20.98%	NA	93578	1/1/2025 - 11/12/2025
18-24 Years	None of the above	24.11%	NA	103600	1/1/2025 - 11/12/2025
18-24 Years	Total	27.93%	NA	8066652	1/1/2025 - 11/12/2025
25-34 Years	Mississippi	53.85%	NA	150924	1/1/2025 - 11/12/2025
25-34 Years	Alabama	50.89%	NA	38541	1/1/2025 - 11/12/2025
25-34 Years	West Virginia	53.83%	NA	91687	1/1/2025 - 11/12/2025
25-34 Years	Kentucky	51.74%	NA	263720	1/1/2025 - 11/12/2025
25-34 Years	Nebraska	45.64%	NA	82932	1/1/2025 - 11/12/2025
25-34 Years	Indiana	50.29%	NA	263419	1/1/2025 - 11/12/2025
25-34 Years	Ohio	47.86%	NA	891285	1/1/2025 - 11/12/2025
25-34 Years	Maryland	44.78%	NA	172761	1/1/2025 - 11/12/2025
25-34 Years	Kansas	44.68%	NA	88500	1/1/2025 - 11/12/2025
25-34 Years	Missouri	45.66%	NA	102525	1/1/2025 - 11/12/2025
25-34 Years	Louisiana	48.61%	NA	215894	1/1/2025 - 11/12/2025
25-34 Years	South Carolina	46.86%	NA	314999	1/1/2025 - 11/12/2025
25-34 Years	Tennessee	47.83%	NA	128984	1/1/2025 - 11/12/2025
25-34 Years	Iowa	49.11%	NA	178055	1/1/2025 - 11/12/2025
25-34 Years	Oklahoma	50.53%	NA	104034	1/1/2025 - 11/12/2025
25-34 Years	North Carolina	46.51%	NA	579598	1/1/2025 - 11/12/2025
25-34 Years	Virginia	44.04%	NA	415006	1/1/2025 - 11/12/2025
25-34 Years	Michigan	44.26%	NA	539917	1/1/2025 - 11/12/2025
25-34 Years	Puerto Rico	45.07%	NA	8933	1/1/2025 - 11/12/2025
25-34 Years	Illinois	45.65%	NA	515925	1/1/2025 - 11/12/2025
25-34 Years	Delaware	51.78%	NA	33186	1/1/2025 - 11/12/2025
25-34 Years	Arkansas	52.04%	NA	77709	1/1/2025 - 11/12/2025
25-34 Years	Pennsylvania	42.59%	NA	717443	1/1/2025 - 11/12/2025
25-34 Years	Wisconsin	43.61%	NA	304648	1/1/2025 - 11/12/2025
25-34 Years	New Jersey	41.28%	NA	294827	1/1/2025 - 11/12/2025
25-34 Years	Minnesota	41.76%	NA	228809	1/1/2025 - 11/12/2025
25-34 Years	Connecticut	40.37%	NA	248253	1/1/2025 - 11/12/2025
25-34 Years	North Dakota	43.13%	NA	71742	1/1/2025 - 11/12/2025
25-34 Years	Georgia	44.41%	NA	282231	1/1/2025 - 11/12/2025
25-34 Years	New York	39.03%	NA	635595	1/1/2025 - 11/12/2025
25-34 Years	Texas	47.27%	NA	1048850	1/1/2025 - 11/12/2025
25-34 Years	Maine	40.48%	NA	59722	1/1/2025 - 11/12/2025
25-34 Years	New Mexico	41.98%	NA	22682	1/1/2025 - 11/12/2025
25-34 Years	Florida	43.12%	NA	716230	1/1/2025 - 11/12/2025
25-34 Years	Wyoming	42.99%	NA	14274	1/1/2025 - 11/12/2025
25-34 Years	Idaho	41.82%	NA	87212	1/1/2025 - 11/12/2025
25-34 Years	New Hampshire	39.50%	NA	44808	1/1/2025 - 11/12/2025
25-34 Years	Montana	37.64%	NA	40908	1/1/2025 - 11/12/2025
25-34 Years	Arizona	37.83%	NA	157666	1/1/2025 - 11/12/2025
25-34 Years	Massachusetts	35.06%	NA	359946	1/1/2025 - 11/12/2025
25-34 Years	South Dakota	39.07%	NA	42314	1/1/2025 - 11/12/2025
25-34 Years	District of Columbia	27.24%	NA	24405	1/1/2025 - 11/12/2025
25-34 Years	Oregon	35.91%	NA	207464	1/1/2025 - 11/12/2025
25-34 Years	Vermont	33.13%	NA	32749	1/1/2025 - 11/12/2025
25-34 Years	Alaska	31.31%	NA	1418	1/1/2025 - 11/12/2025
25-34 Years	California	33.69%	NA	915653	1/1/2025 - 11/12/2025
25-34 Years	Colorado	32.92%	NA	322014	1/1/2025 - 11/12/2025
25-34 Years	Hawaii	36.79%	NA	51811	1/1/2025 - 11/12/2025
25-34 Years	Nevada	35.55%	NA	102821	1/1/2025 - 11/12/2025
25-34 Years	Rhode Island	31.66%	NA	62262	1/1/2025 - 11/12/2025
25-34 Years	Utah	28.38%	NA	101422	1/1/2025 - 11/12/2025
25-34 Years	Washington	30.83%	NA	181587	1/1/2025 - 11/12/2025
25-34 Years	None of the above	34.90%	NA	195626	1/1/2025 - 11/12/2025
25-34 Years	Total	42.86%	NA	12835926	1/1/2025 - 11/12/2025
35-44 Years	Mississippi	58.12%	NA	168897	1/1/2025 - 11/12/2025
35-44 Years	Alabama	53.81%	NA	48650	1/1/2025 - 11/12/2025
35-44 Years	West Virginia	57.13%	NA	99144	1/1/2025 - 11/12/2025
35-44 Years	Kentucky	55.03%	NA	283086	1/1/2025 - 11/12/2025
35-44 Years	Nebraska	50.32%	NA	87049	1/1/2025 - 11/12/2025
35-44 Years	Indiana	54.39%	NA	282959	1/1/2025 - 11/12/2025
35-44 Years	Ohio	52.20%	NA	963902	1/1/2025 - 11/12/2025
35-44 Years	Maryland	49.77%	NA	197022	1/1/2025 - 11/12/2025
35-44 Years	Kansas	48.22%	NA	102372	1/1/2025 - 11/12/2025
35-44 Years	Missouri	49.92%	NA	108068	1/1/2025 - 11/12/2025
35-44 Years	Louisiana	52.80%	NA	247428	1/1/2025 - 11/12/2025
35-44 Years	South Carolina	51.88%	NA	345615	1/1/2025 - 11/12/2025
35-44 Years	Tennessee	51.67%	NA	138473	1/1/2025 - 11/12/2025
35-44 Years	Iowa	53.66%	NA	193897	1/1/2025 - 11/12/2025
35-44 Years	Oklahoma	53.13%	NA	117681	1/1/2025 - 11/12/2025
35-44 Years	North Carolina	50.54%	NA	629156	1/1/2025 - 11/12/2025
35-44 Years	Virginia	47.94%	NA	494029	1/1/2025 - 11/12/2025
35-44 Years	Michigan	48.53%	NA	567562	1/1/2025 - 11/12/2025
35-44 Years	Puerto Rico	54.17%	NA	8274	1/1/2025 - 11/12/2025
35-44 Years	Illinois	50.85%	NA	550180	1/1/2025 - 11/12/2025
35-44 Years	Delaware	57.00%	NA	37069	1/1/2025 - 11/12/2025
35-44 Years	Arkansas	55.04%	NA	86049	1/1/2025 - 11/12/2025
35-44 Years	Pennsylvania	46.83%	NA	802644	1/1/2025 - 11/12/2025
35-44 Years	Wisconsin	49.16%	NA	328397	1/1/2025 - 11/12/2025
35-44 Years	New Jersey	46.16%	NA	332830	1/1/2025 - 11/12/2025
35-44 Years	Minnesota	47.03%	NA	261765	1/1/2025 - 11/12/2025
35-44 Years	Connecticut	45.02%	NA	285353	1/1/2025 - 11/12/2025
35-44 Years	North Dakota	47.09%	NA	77349	1/1/2025 - 11/12/2025
35-44 Years	Georgia	49.15%	NA	320182	1/1/2025 - 11/12/2025
35-44 Years	New York	44.28%	NA	674897	1/1/2025 - 11/12/2025
35-44 Years	Texas	50.58%	NA	1200246	1/1/2025 - 11/12/2025
35-44 Years	Maine	43.68%	NA	72130	1/1/2025 - 11/12/2025
35-44 Years	New Mexico	44.77%	NA	25667	1/1/2025 - 11/12/2025
35-44 Years	Florida	47.21%	NA	808062	1/1/2025 - 11/12/2025
35-44 Years	Wyoming	45.02%	NA	16702	1/1/2025 - 11/12/2025
35-44 Years	Idaho	44.10%	NA	95103	1/1/2025 - 11/12/2025
35-44 Years	New Hampshire	43.88%	NA	51975	1/1/2025 - 11/12/2025
35-44 Years	Montana	40.53%	NA	43930	1/1/2025 - 11/12/2025
35-44 Years	Arizona	42.67%	NA	161033	1/1/2025 - 11/12/2025
35-44 Years	Massachusetts	41.41%	NA	377551	1/1/2025 - 11/12/2025
35-44 Years	South Dakota	42.41%	NA	45168	1/1/2025 - 11/12/2025
35-44 Years	District of Columbia	34.14%	NA	20352	1/1/2025 - 11/12/2025
35-44 Years	Oregon	38.95%	NA	224507	1/1/2025 - 11/12/2025
35-44 Years	Vermont	35.16%	NA	42298	1/1/2025 - 11/12/2025
35-44 Years	Alaska	39.50%	NA	1167	1/1/2025 - 11/12/2025
35-44 Years	California	36.63%	NA	961373	1/1/2025 - 11/12/2025
35-44 Years	Colorado	36.37%	NA	329231	1/1/2025 - 11/12/2025
35-44 Years	Hawaii	38.00%	NA	62279	1/1/2025 - 11/12/2025
35-44 Years	Nevada	38.70%	NA	106651	1/1/2025 - 11/12/2025
35-44 Years	Rhode Island	36.27%	NA	67012	1/1/2025 - 11/12/2025
35-44 Years	Utah	32.36%	NA	99253	1/1/2025 - 11/12/2025
35-44 Years	Washington	35.39%	NA	198575	1/1/2025 - 11/12/2025
35-44 Years	None of the above	40.41%	NA	172466	1/1/2025 - 11/12/2025
35-44 Years	Total	47.17%	NA	14022710	1/1/2025 - 11/12/2025
45-54 Years	Mississippi	60.91%	NA	197006	1/1/2025 - 11/12/2025
45-54 Years	Alabama	56.27%	NA	62361	1/1/2025 - 11/12/2025
45-54 Years	West Virginia	60.85%	NA	116123	1/1/2025 - 11/12/2025
45-54 Years	Kentucky	58.81%	NA	303760	1/1/2025 - 11/12/2025
45-54 Years	Nebraska	54.14%	NA	83037	1/1/2025 - 11/12/2025
45-54 Years	Indiana	58.00%	NA	291835	1/1/2025 - 11/12/2025
45-54 Years	Ohio	56.29%	NA	979730	1/1/2025 - 11/12/2025
45-54 Years	Maryland	53.24%	NA	188303	1/1/2025 - 11/12/2025
45-54 Years	Kansas	52.29%	NA	103261	1/1/2025 - 11/12/2025
45-54 Years	Missouri	54.55%	NA	107125	1/1/2025 - 11/12/2025
45-54 Years	Louisiana	55.88%	NA	246609	1/1/2025 - 11/12/2025
45-54 Years	South Carolina	55.70%	NA	361761	1/1/2025 - 11/12/2025
45-54 Years	Tennessee	54.42%	NA	160551	1/1/2025 - 11/12/2025
45-54 Years	Iowa	57.65%	NA	188225	1/1/2025 - 11/12/2025
45-54 Years	Oklahoma	55.40%	NA	124899	1/1/2025 - 11/12/2025
45-54 Years	North Carolina	53.46%	NA	676019	1/1/2025 - 11/12/2025
45-54 Years	Virginia	50.37%	NA	513778	1/1/2025 - 11/12/2025
45-54 Years	Michigan	52.30%	NA	571797	1/1/2025 - 11/12/2025
45-54 Years	Puerto Rico	58.63%	NA	9274	1/1/2025 - 11/12/2025
45-54 Years	Illinois	53.86%	NA	581364	1/1/2025 - 11/12/2025
45-54 Years	Delaware	59.17%	NA	37766	1/1/2025 - 11/12/2025
45-54 Years	Arkansas	56.25%	NA	98320	1/1/2025 - 11/12/2025
45-54 Years	Pennsylvania	50.60%	NA	787542	1/1/2025 - 11/12/2025
45-54 Years	Wisconsin	53.84%	NA	314148	1/1/2025 - 11/12/2025
45-54 Years	New Jersey	47.65%	NA	358707	1/1/2025 - 11/12/2025
45-54 Years	Minnesota	52.00%	NA	242703	1/1/2025 - 11/12/2025
45-54 Years	Connecticut	47.71%	NA	285444	1/1/2025 - 11/12/2025
45-54 Years	North Dakota	53.65%	NA	63460	1/1/2025 - 11/12/2025
45-54 Years	Georgia	52.15%	NA	362775	1/1/2025 - 11/12/2025
45-54 Years	New York	47.11%	NA	677196	1/1/2025 - 11/12/2025
45-54 Years	Texas	52.98%	NA	1227166	1/1/2025 - 11/12/2025
45-54 Years	Maine	48.23%	NA	74467	1/1/2025 - 11/12/2025
45-54 Years	New Mexico	48.10%	NA	26428	1/1/2025 - 11/12/2025
45-54 Years	Florida	48.60%	NA	854198	1/1/2025 - 11/12/2025
45-54 Years	Wyoming	49.33%	NA	17023	1/1/2025 - 11/12/2025
45-54 Years	Idaho	47.19%	NA	99268	1/1/2025 - 11/12/2025
45-54 Years	New Hampshire	48.05%	NA	55713	1/1/2025 - 11/12/2025
45-54 Years	Montana	45.38%	NA	41570	1/1/2025 - 11/12/2025
45-54 Years	Arizona	45.39%	NA	160011	1/1/2025 - 11/12/2025
45-54 Years	Massachusetts	43.90%	NA	375992	1/1/2025 - 11/12/2025
